date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Andaman and Nicobar Islands,Nicobar,744304,1,0,0
01-09-2025,Andaman and Nicobar Islands,South Andaman,744107,1,0,0
04-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744205,1,0,0
09-09-2025,Andaman and Nicobar Islands,Nicobar,744301,0,2,0
09-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744209,2,0,0
10-09-2025,Andaman and Nicobar Islands,South Andaman,744103,1,0,0
15-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,1,1,0
15-09-2025,Andaman and Nicobar Islands,South Andaman,744105,1,0,0
13-09-2025,Andaman and Nicobar Islands,Nicobar,744301,1,0,0
23-09-2025,Andaman and Nicobar Islands,South Andaman,744105,1,0,0
23-09-2025,Andaman and Nicobar Islands,South Andaman,744106,1,0,0
22-09-2025,Andaman and Nicobar Islands,South Andaman,744101,1,0,0
22-09-2025,Andaman and Nicobar Islands,South Andaman,744106,1,0,0
26-09-2025,Andaman and Nicobar Islands,South Andaman,744105,1,0,0
15-10-2025,Andaman and Nicobar Islands,South Andaman,744105,1,0,0
17-10-2025,Andaman and Nicobar Islands,Nicobar,744301,3,1,0
17-10-2025,Andaman and Nicobar Islands,South Andaman,744206,1,0,0
01-09-2025,Andaman and Nicobar Islands,Nicobar,744301,9,2,0
01-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744201,1,0,0
01-09-2025,Andaman and Nicobar Islands,South Andaman,744207,1,0,0
02-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744201,1,0,0
02-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,1,0,0
05-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,1,0,0
08-09-2025,Andaman and Nicobar Islands,South Andaman,744101,2,0,0
08-09-2025,Andaman and Nicobar Islands,South Andaman,744207,1,0,0
09-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744205,2,0,0
12-09-2025,Andaman and Nicobar Islands,Nicobar,744301,2,0,0
11-09-2025,Andaman and Nicobar Islands,South Andaman,744102,1,0,0
16-09-2025,Andaman and Nicobar Islands,Nicobar,744301,2,0,0
18-09-2025,Andaman and Nicobar Islands,South Andaman,744105,1,0,0
19-09-2025,Andaman and Nicobar Islands,South Andaman,744106,1,0,0
23-09-2025,Andaman and Nicobar Islands,Nicobar,744301,1,0,0
23-09-2025,Andaman and Nicobar Islands,South Andaman,744102,1,0,0
23-09-2025,Andaman and Nicobar Islands,South Andaman,744103,1,0,0
23-09-2025,Andaman and Nicobar Islands,South Andaman,744206,1,0,0
22-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,2,0,0
25-09-2025,Andaman and Nicobar Islands,South Andaman,744207,1,0,0
13-10-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,2,0,0
17-10-2025,Andaman and Nicobar Islands,North And Middle Andaman,744209,1,0,0
01-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,2,0,0
01-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744205,1,0,0
03-09-2025,Andaman and Nicobar Islands,Nicobar,744301,2,0,0
03-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,3,0,0
03-09-2025,Andaman and Nicobar Islands,South Andaman,744107,1,0,0
03-09-2025,Andaman and Nicobar Islands,South Andaman,744112,1,0,0
04-09-2025,Andaman and Nicobar Islands,South Andaman,744206,1,0,0
08-09-2025,Andaman and Nicobar Islands,South Andaman,744105,1,0,0
05-09-2025,Andaman and Nicobar Islands,South Andaman,744105,1,0,0
10-09-2025,Andaman and Nicobar Islands,Nicobar,744301,4,0,0
10-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744205,2,0,0
10-09-2025,Andaman and Nicobar Islands,South Andaman,744206,1,1,0
09-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744201,0,1,0
09-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,3,0,0
12-09-2025,Andaman and Nicobar Islands,South Andaman,744207,1,0,0
15-09-2025,Andaman and Nicobar Islands,South Andaman,744103,1,0,0
18-09-2025,Andaman and Nicobar Islands,South Andaman,744101,1,0,0
19-09-2025,Andaman and Nicobar Islands,Nicobar,744301,2,0,0
19-09-2025,Andaman and Nicobar Islands,South Andaman,744102,1,0,0
19-09-2025,Andaman and Nicobar Islands,South Andaman,744207,1,0,0
24-09-2025,Andaman and Nicobar Islands,South Andaman,744102,1,0,0
25-09-2025,Andaman and Nicobar Islands,Nicobar,744302,1,0,0
13-10-2025,Andaman and Nicobar Islands,North And Middle Andaman,744205,2,0,0
15-10-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,2,0,0
17-10-2025,Andaman and Nicobar Islands,South Andaman,744105,2,0,0
01-09-2025,Andaman and Nicobar Islands,South Andaman,744103,1,0,0
01-09-2025,Andaman and Nicobar Islands,South Andaman,744105,2,0,0
03-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,1,0,0
03-09-2025,Andaman and Nicobar Islands,South Andaman,744106,1,1,0
02-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744205,1,0,0
02-09-2025,Andaman and Nicobar Islands,South Andaman,744102,1,0,0
05-09-2025,Andaman and Nicobar Islands,South Andaman,744102,1,0,0
04-09-2025,Andaman and Nicobar Islands,Nicobar,744301,4,0,0
04-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,1,0,0
04-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,1,0,0
04-09-2025,Andaman and Nicobar Islands,South Andaman,744102,2,0,0
04-09-2025,Andaman and Nicobar Islands,South Andaman,744207,0,1,0
08-09-2025,Andaman and Nicobar Islands,South Andaman,744102,1,0,0
08-09-2025,Andaman and Nicobar Islands,South Andaman,744106,1,0,0
08-09-2025,Andaman and Nicobar Islands,South Andaman,744206,1,0,0
11-09-2025,Andaman and Nicobar Islands,South Andaman,744101,1,0,0
16-09-2025,Andaman and Nicobar Islands,South Andaman,744206,1,0,0
18-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,1,0,0
20-09-2025,Andaman and Nicobar Islands,South Andaman,744207,1,0,0
19-09-2025,Andaman and Nicobar Islands,Nicobar,744303,1,0,0
26-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744201,2,0,0
25-09-2025,Andaman and Nicobar Islands,Nicobar,744301,1,0,0
25-09-2025,Andaman and Nicobar Islands,South Andaman,744105,1,0,0
24-09-2025,Andaman and Nicobar Islands,South Andaman,744105,1,0,0
13-10-2025,Andaman and Nicobar Islands,South Andaman,744104,2,0,0
16-10-2025,Andaman and Nicobar Islands,South Andaman,744101,0,1,0
17-10-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,1,0,0
17-10-2025,Andaman and Nicobar Islands,South Andaman,744103,1,0,0
01-09-2025,Andaman and Nicobar Islands,South Andaman,744102,1,0,0
03-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744205,1,0,0
02-09-2025,Andaman and Nicobar Islands,Nicobar,744301,3,1,0
02-09-2025,Andaman and Nicobar Islands,Nicobar,744303,1,0,0
04-09-2025,Andaman and Nicobar Islands,South Andaman,744106,1,0,0
08-09-2025,Andaman and Nicobar Islands,Nicobar,744301,2,0,0
08-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,3,0,0
10-09-2025,Andaman and Nicobar Islands,Nicobar,744303,1,0,0
10-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,2,0,0
09-09-2025,Andaman and Nicobar Islands,South Andaman,744102,1,0,0
11-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744209,1,0,0
15-09-2025,Andaman and Nicobar Islands,South Andaman,744207,0,1,0
18-09-2025,Andaman and Nicobar Islands,Nicobar,744301,1,0,0
17-09-2025,Andaman and Nicobar Islands,Nicobar,744301,2,0,0
19-09-2025,Andaman and Nicobar Islands,South Andaman,744206,1,0,0
