date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-07-2025,Andhra Pradesh,Spsr Nellore,524345,56,59,15
01-07-2025,Andhra Pradesh,Spsr Nellore,524411,78,54,15
01-09-2025,Andhra Pradesh,Krishna,521215,3,2,0
01-09-2025,Andhra Pradesh,Krishna,521235,3,0,0
01-09-2025,Andhra Pradesh,Krishna,521263,1,0,0
01-09-2025,Andhra Pradesh,Krishna,521301,3,1,0
01-09-2025,Andhra Pradesh,Krishna,521332,1,0,0
01-09-2025,Andhra Pradesh,Krishna,521333,2,0,0
01-09-2025,Andhra Pradesh,Krishna,521457,1,0,0
01-09-2025,Andhra Pradesh,Kurnool,518124,1,0,0
01-09-2025,Andhra Pradesh,Kurnool,518135,1,0,0
01-09-2025,Andhra Pradesh,Kurnool,518166,1,0,0
01-09-2025,Andhra Pradesh,Kurnool,518176,0,1,0
01-09-2025,Andhra Pradesh,Kurnool,518221,4,3,0
01-09-2025,Andhra Pradesh,Kurnool,518222,2,0,0
01-09-2025,Andhra Pradesh,Kurnool,518343,2,0,0
01-09-2025,Andhra Pradesh,Kurnool,518346,3,0,0
01-09-2025,Andhra Pradesh,Kurnool,518350,8,0,0
01-09-2025,Andhra Pradesh,Kurnool,518422,3,0,0
01-09-2025,Andhra Pradesh,Kurnool,518463,1,0,0
01-09-2025,Andhra Pradesh,Kurnool,518465,6,1,0
01-09-2025,Andhra Pradesh,Kurnool,518466,6,0,0
01-09-2025,Andhra Pradesh,Mahabub Nagar,509360,3,1,0
01-09-2025,Andhra Pradesh,Mahbubnagar,509104,2,1,0
01-09-2025,Andhra Pradesh,Mahbubnagar,509208,1,0,0
01-09-2025,Andhra Pradesh,Mahbubnagar,509338,1,0,0
01-09-2025,Andhra Pradesh,Mahbubnagar,509411,1,0,0
01-09-2025,Andhra Pradesh,Medak,502032,2,0,0
01-09-2025,Andhra Pradesh,Medak,502291,3,0,0
01-09-2025,Andhra Pradesh,Medak,502375,0,1,0
01-09-2025,Andhra Pradesh,N. T. R,520012,1,0,0
01-09-2025,Andhra Pradesh,N. T. R,521183,1,0,0
01-09-2025,Andhra Pradesh,N. T. R,521230,3,0,0
01-09-2025,Andhra Pradesh,N. T. R,521235,1,0,0
01-09-2025,Andhra Pradesh,Nalgonda,508115,1,0,0
01-09-2025,Andhra Pradesh,Nandyal,518221,1,0,0
01-09-2025,Andhra Pradesh,Nandyal,518502,1,0,0
01-09-2025,Andhra Pradesh,Nandyal,518563,1,0,0
01-09-2025,Andhra Pradesh,Nellore,524134,0,1,0
