date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-07-2025,Arunachal Pradesh,West Kameng,790101,43,30,10
01-09-2025,Arunachal Pradesh,Changlang,792120,1,0,0
01-09-2025,Arunachal Pradesh,Changlang,792122,4,0,0
01-09-2025,Arunachal Pradesh,East Kameng,790102,2,1,0
01-09-2025,Arunachal Pradesh,Tawang,790104,0,1,0
01-09-2025,Arunachal Pradesh,Tawang,790105,2,0,0
01-09-2025,Arunachal Pradesh,West Siang,791125,0,1,0
04-09-2025,Arunachal Pradesh,Lower Subansiri,791120,2,2,0
04-09-2025,Arunachal Pradesh,Papum Pare,791111,1,2,0
02-09-2025,Arunachal Pradesh,Changlang,792122,3,4,0
02-09-2025,Arunachal Pradesh,Kamle,791130,0,4,0
02-09-2025,Arunachal Pradesh,Kurung Kumey,791118,1,1,0
02-09-2025,Arunachal Pradesh,Lohit,792001,3,2,0
02-09-2025,Arunachal Pradesh,Lower Subansiri,791120,1,1,0
02-09-2025,Arunachal Pradesh,Papum Pare,791111,2,0,0
02-09-2025,Arunachal Pradesh,Papum Pare,791123,1,1,0
02-09-2025,Arunachal Pradesh,Tawang,790105,2,0,0
02-09-2025,Arunachal Pradesh,West Siang,791101,1,1,0
02-09-2025,Arunachal Pradesh,West Siang,792051,1,0,0
03-09-2025,Arunachal Pradesh,Anjaw,792104,2,2,0
03-09-2025,Arunachal Pradesh,Kra Daadi,791118,1,0,0
03-09-2025,Arunachal Pradesh,Longding,792131,2,8,0
03-09-2025,Arunachal Pradesh,Tawang,790104,2,0,0
06-09-2025,Arunachal Pradesh,Changlang,792123,4,0,0
05-09-2025,Arunachal Pradesh,Anjaw,792104,3,0,0
05-09-2025,Arunachal Pradesh,Longding,792131,0,3,0
05-09-2025,Arunachal Pradesh,West Kameng,790101,1,0,0
07-09-2025,Arunachal Pradesh,Changlang,792122,0,0,1
08-09-2025,Arunachal Pradesh,Anjaw,792104,3,0,0
08-09-2025,Arunachal Pradesh,Changlang,792056,2,0,0
08-09-2025,Arunachal Pradesh,Longding,792131,1,22,0
08-09-2025,Arunachal Pradesh,Upper Subansiri,791122,2,1,0
10-09-2025,Arunachal Pradesh,East Siang,791102,3,0,0
10-09-2025,Arunachal Pradesh,Kra Daadi,791118,0,3,0
10-09-2025,Arunachal Pradesh,Lower Siang,791125,1,0,0
09-09-2025,Arunachal Pradesh,Changlang,792120,1,1,0
09-09-2025,Arunachal Pradesh,Lower Subansiri,791120,2,1,0
09-09-2025,Arunachal Pradesh,Namsai,792105,2,0,0
12-09-2025,Arunachal Pradesh,Longding,792131,2,8,0
12-09-2025,Arunachal Pradesh,Namsai,792105,3,1,0
12-09-2025,Arunachal Pradesh,Papum Pare,791111,2,1,0
12-09-2025,Arunachal Pradesh,Siang,791001,1,2,0
12-09-2025,Arunachal Pradesh,West Kameng,790001,1,0,0
12-09-2025,Arunachal Pradesh,West Kameng,790101,2,2,0
11-09-2025,Arunachal Pradesh,Changlang,792120,0,2,0
11-09-2025,Arunachal Pradesh,Lohit,792001,0,1,0
11-09-2025,Arunachal Pradesh,Lower Dibang Valley,792110,1,1,0
11-09-2025,Arunachal Pradesh,Papum Pare,791111,2,1,0
11-09-2025,Arunachal Pradesh,Siang,791001,2,1,0
11-09-2025,Arunachal Pradesh,Tawang,790105,1,0,0
11-09-2025,Arunachal Pradesh,Tirap,792130,1,0,0
15-09-2025,Arunachal Pradesh,Changlang,792121,3,0,0
15-09-2025,Arunachal Pradesh,East Siang,791102,0,1,0
15-09-2025,Arunachal Pradesh,Namsai,792105,2,0,0
15-09-2025,Arunachal Pradesh,Papum Pare,791110,0,1,0
15-09-2025,Arunachal Pradesh,Papum Pare,791111,0,2,0
15-09-2025,Arunachal Pradesh,Tawang,790105,0,1,0
15-09-2025,Arunachal Pradesh,Upper Siang,792061,1,0,0
14-09-2025,Arunachal Pradesh,Kra Daadi,791118,0,2,0
14-09-2025,Arunachal Pradesh,Longding,792131,1,18,0
13-09-2025,Arunachal Pradesh,Changlang,792121,8,3,1
13-09-2025,Arunachal Pradesh,West Siang,791001,2,0,0
16-09-2025,Arunachal Pradesh,Anjaw,792104,1,0,0
16-09-2025,Arunachal Pradesh,East Kameng,790103,0,1,0
16-09-2025,Arunachal Pradesh,Lohit,792102,2,0,0
16-09-2025,Arunachal Pradesh,Namsai,792103,1,2,0
16-09-2025,Arunachal Pradesh,Papum Pare,791113,1,0,0
16-09-2025,Arunachal Pradesh,Siang,791001,5,7,0
16-09-2025,Arunachal Pradesh,Tawang,790106,6,1,0
16-09-2025,Arunachal Pradesh,Upper Subansiri,791122,5,4,0
18-09-2025,Arunachal Pradesh,Changlang,792122,1,2,0
18-09-2025,Arunachal Pradesh,East Kameng,790102,1,1,0
18-09-2025,Arunachal Pradesh,Longding,786630,2,0,0
18-09-2025,Arunachal Pradesh,Longding,792131,1,0,0
17-09-2025,Arunachal Pradesh,Papum Pare,791113,0,1,0
20-09-2025,Arunachal Pradesh,Changlang,792103,1,0,0
20-09-2025,Arunachal Pradesh,Tawang,790105,10,0,0
20-09-2025,Arunachal Pradesh,Tawang,790106,1,0,0
20-09-2025,Arunachal Pradesh,West Siang,791001,0,2,0
19-09-2025,Arunachal Pradesh,Lower Siang,791125,1,0,0
19-09-2025,Arunachal Pradesh,Papum Pare,791110,0,1,0
19-09-2025,Arunachal Pradesh,West Kameng,790101,2,2,0
23-09-2025,Arunachal Pradesh,Anjaw,792104,0,1,0
23-09-2025,Arunachal Pradesh,Upper Subansiri,791122,3,2,0
23-09-2025,Arunachal Pradesh,West Siang,791001,1,0,0
22-09-2025,Arunachal Pradesh,Changlang,792122,1,0,0
22-09-2025,Arunachal Pradesh,Papum Pare,791112,0,1,0
22-09-2025,Arunachal Pradesh,Tirap,792130,1,1,0
22-09-2025,Arunachal Pradesh,Upper Subansiri,791122,3,0,0
22-09-2025,Arunachal Pradesh,West Kameng,790101,2,0,0
24-09-2025,Arunachal Pradesh,Changlang,792056,1,0,0
24-09-2025,Arunachal Pradesh,East Kameng,790102,1,1,0
24-09-2025,Arunachal Pradesh,Longding,792131,3,2,0
24-09-2025,Arunachal Pradesh,West Siang,791001,1,1,0
21-09-2025,Arunachal Pradesh,Papum Pare,791112,0,1,0
26-09-2025,Arunachal Pradesh,Changlang,792056,1,0,0
26-09-2025,Arunachal Pradesh,Changlang,792122,2,0,0
26-09-2025,Arunachal Pradesh,Dibang Valley,792101,0,1,0
26-09-2025,Arunachal Pradesh,Namsai,792105,3,0,0
25-09-2025,Arunachal Pradesh,Dibang Valley,792101,1,0,0
25-09-2025,Arunachal Pradesh,Lohit,792102,2,0,0
25-09-2025,Arunachal Pradesh,Lower Siang,791125,0,1,0
27-09-2025,Arunachal Pradesh,Changlang,792103,2,1,0
27-09-2025,Arunachal Pradesh,East Kameng,790102,2,0,0
27-09-2025,Arunachal Pradesh,Siang,791001,0,5,0
27-09-2025,Arunachal Pradesh,Upper Siang,791002,1,0,0
29-09-2025,Arunachal Pradesh,Kra Daadi,791118,0,3,0
29-09-2025,Arunachal Pradesh,West Kameng,790002,0,2,0
30-09-2025,Arunachal Pradesh,East Kameng,790102,4,2,0
30-09-2025,Arunachal Pradesh,Kurung Kumey,791118,0,3,0
30-09-2025,Arunachal Pradesh,Lower Subansiri,791120,0,1,0
30-09-2025,Arunachal Pradesh,Papum Pare,791109,0,1,0
30-09-2025,Arunachal Pradesh,Papum Pare,791112,0,1,0
13-10-2025,Arunachal Pradesh,Tawang,790104,1,1,0
13-10-2025,Arunachal Pradesh,Upper Subansiri,791122,0,2,0
13-10-2025,Arunachal Pradesh,West Siang,791001,2,1,0
15-10-2025,Arunachal Pradesh,Changlang,792120,2,0,0
15-10-2025,Arunachal Pradesh,Dibang Valley,792101,1,0,0
16-10-2025,Arunachal Pradesh,Kra Daadi,791118,0,1,0
16-10-2025,Arunachal Pradesh,Papum Pare,791111,0,2,0
16-10-2025,Arunachal Pradesh,Papum Pare,791113,0,1,0
