date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Assam,Bajali,781375,1,0,0
01-09-2025,Assam,Baksa,781315,6,1,0
01-09-2025,Assam,Baksa,781340,1,0,0
01-09-2025,Assam,Baksa,781360,3,1,0
01-09-2025,Assam,Barpeta,781316,22,1,1
01-09-2025,Assam,Barpeta,781318,3,1,0
01-09-2025,Assam,Biswanath,784166,2,0,0
01-09-2025,Assam,Biswanath,784172,7,4,0
01-09-2025,Assam,Cachar,788001,1,1,0
01-09-2025,Assam,Cachar,788002,7,5,0
01-09-2025,Assam,Cachar,788003,5,1,0
01-09-2025,Assam,Cachar,788015,4,0,0
01-09-2025,Assam,Cachar,788108,0,1,0
01-09-2025,Assam,Cachar,788110,3,0,0
01-09-2025,Assam,Cachar,788120,7,6,0
01-09-2025,Assam,Cachar,788123,3,0,0
01-09-2025,Assam,Cachar,788817,1,0,0
01-09-2025,Assam,Chirang,783385,2,3,0
01-09-2025,Assam,Darrang,784115,14,8,0
01-09-2025,Assam,Darrang,784146,6,5,0
01-09-2025,Assam,Darrang,784190,12,5,0
01-09-2025,Assam,Darrang,784529,3,0,0
01-09-2025,Assam,Dhemaji,787061,1,1,0
01-09-2025,Assam,Dhubri,783127,4,1,0
01-09-2025,Assam,Dhubri,783135,2,4,0
01-09-2025,Assam,Dhubri,783334,40,6,0
01-09-2025,Assam,Dhubri,783371,1,2,0
01-09-2025,Assam,Dibrugarh,785676,1,0,0
01-09-2025,Assam,Goalpara,783134,0,2,0
01-09-2025,Assam,Golaghat,785610,2,1,0
01-09-2025,Assam,Golaghat,785619,0,4,0
01-09-2025,Assam,Golaghat,785622,0,1,0
01-09-2025,Assam,Hailakandi,788151,3,1,0
01-09-2025,Assam,Hailakandi,788152,14,5,0
01-09-2025,Assam,Hojai,782439,4,3,0
01-09-2025,Assam,Hojai,782446,7,1,0
01-09-2025,Assam,Hojai,782481,2,0,0
01-09-2025,Assam,Jorhat,785004,2,0,0
01-09-2025,Assam,Jorhat,785015,2,0,0
01-09-2025,Assam,Jorhat,785108,1,1,0
01-09-2025,Assam,Jorhat,785111,2,0,0
01-09-2025,Assam,Jorhat,785633,1,0,0
01-09-2025,Assam,Jorhat,785683,1,0,0
01-09-2025,Assam,Kamrup,781031,1,0,0
01-09-2025,Assam,Kamrup,781037,0,1,0
01-09-2025,Assam,Kamrup,781123,11,3,0
01-09-2025,Assam,Kamrup,781124,2,0,0
01-09-2025,Assam,Kamrup,781127,2,4,0
01-09-2025,Assam,Kamrup,781135,2,0,0
01-09-2025,Assam,Kamrup,781141,1,0,0
01-09-2025,Assam,Kamrup,781365,1,0,0
01-09-2025,Assam,Kamrup,781366,3,1,0
01-09-2025,Assam,Kamrup Metro,781003,1,2,0
01-09-2025,Assam,Kamrup Metro,781004,0,1,0
01-09-2025,Assam,Kamrup Metro,781012,3,2,0
01-09-2025,Assam,Karbi Anglong,782448,1,2,0
01-09-2025,Assam,Karimganj,788701,9,2,0
01-09-2025,Assam,Karimganj,788719,5,1,0
01-09-2025,Assam,Karimganj,788720,12,2,0
01-09-2025,Assam,Karimganj,788724,3,0,0
01-09-2025,Assam,Karimganj,788803,1,0,0
01-09-2025,Assam,Karimganj,788806,23,3,0
01-09-2025,Assam,Kokrajhar,783361,1,2,0
01-09-2025,Assam,Lakhimpur,784160,8,0,0
01-09-2025,Assam,Lakhimpur,784161,10,1,1
01-09-2025,Assam,Lakhimpur,784165,3,2,0
01-09-2025,Assam,Lakhimpur,787052,3,1,0
01-09-2025,Assam,Lakhimpur,787055,9,4,0
01-09-2025,Assam,Marigaon,782105,15,6,0
01-09-2025,Assam,Marigaon,782106,4,3,0
01-09-2025,Assam,Marigaon,782126,16,6,0
01-09-2025,Assam,Nagaon,782125,15,9,0
01-09-2025,Assam,Nagaon,782135,2,0,0
01-09-2025,Assam,Nagaon,782140,12,4,0
01-09-2025,Assam,Nagaon,782141,1,3,0
