date,state,district,pincode,age_0_5,age_5_17,age_18_greater
20-03-2025,Bihar,Sitamarhi,843324,41,55,30
01-04-2025,Bihar,Kaimur (Bhabua),821106,146,199,12
01-04-2025,Bihar,West Champaran,845453,271,300,20
01-04-2025,Bihar,Patna,800002,39,199,19
01-04-2025,Bihar,Sitamarhi,843313,98,76,13
01-04-2025,Bihar,Sitamarhi,843315,102,125,18
01-04-2025,Bihar,Muzaffarpur,844127,208,125,12
01-04-2025,Bihar,Munger,811213,191,278,22
01-04-2025,Bihar,Bhagalpur,853204,349,238,10
01-04-2025,Bihar,Gaya,824231,85,200,16
01-04-2025,Bihar,Patna,801505,60,212,10
01-04-2025,Bihar,Muzaffarpur,843103,388,182,12
01-05-2025,Bihar,West Champaran,845106,260,257,14
01-05-2025,Bihar,Bhagalpur,853201,137,95,14
01-05-2025,Bihar,West Champaran,845438,474,701,27
01-05-2025,Bihar,East Champaran,845301,152,309,17
01-05-2025,Bihar,West Champaran,845307,173,253,29
01-06-2025,Bihar,Patna,801109,116,239,10
01-06-2025,Bihar,Sitamarhi,843320,237,179,11
01-06-2025,Bihar,Muzaffarpur,842002,175,214,23
01-06-2025,Bihar,Lakhisarai,811311,298,478,10
01-06-2025,Bihar,Sitamarhi,843317,162,351,55
01-06-2025,Bihar,Bhagalpur,812005,236,306,31
01-06-2025,Bihar,Banka,813108,83,218,11
01-06-2025,Bihar,Muzaffarpur,843115,158,196,10
01-06-2025,Bihar,Muzaffarpur,843109,200,260,11
01-06-2025,Bihar,Pashchim Champaran,845450,88,262,10
01-06-2025,Bihar,Purbi Champaran,845305,194,416,93
01-06-2025,Bihar,Pashchim Champaran,845106,197,333,13
01-06-2025,Bihar,Sitamarhi,843315,105,172,14
01-06-2025,Bihar,Purnia,854326,209,169,14
01-06-2025,Bihar,Banka,813101,314,324,25
01-06-2025,Bihar,Nalanda,803101,221,810,16
01-06-2025,Bihar,Muzaffarpur,842004,64,96,10
01-06-2025,Bihar,Katihar,854108,197,117,10
01-06-2025,Bihar,Siwan,841239,137,252,11
01-06-2025,Bihar,Muzaffarpur,843113,190,240,14
01-06-2025,Bihar,Kaimur (Bhabua),821109,165,536,10
01-06-2025,Bihar,Muzaffarpur,843119,287,244,13
01-06-2025,Bihar,Munger,811213,117,279,10
01-06-2025,Bihar,Saran,841424,108,453,11
01-06-2025,Bihar,Patna,804453,102,404,10
01-06-2025,Bihar,Araria,854328,25,50,10
01-06-2025,Bihar,Madhubani,847108,182,395,68
01-06-2025,Bihar,Purbi Champaran,845301,167,394,34
01-07-2025,Bihar,Purbi Champaran,845440,84,161,25
01-07-2025,Bihar,Purnia,854301,273,244,11
01-07-2025,Bihar,Patna,801110,154,428,31
01-07-2025,Bihar,Pashchim Champaran,845451,202,354,30
01-07-2025,Bihar,Saharsa,852106,310,300,24
01-07-2025,Bihar,Pashchim Champaran,845306,189,436,33
01-07-2025,Bihar,Gopalganj,841438,336,724,10
01-07-2025,Bihar,Sitamarhi,843327,366,476,24
01-07-2025,Bihar,Nawada,805129,70,255,21
01-07-2025,Bihar,Siwan,841406,192,414,12
01-07-2025,Bihar,Pashchim Champaran,845438,608,1229,34
01-07-2025,Bihar,Sitamarhi,843330,90,242,263
01-07-2025,Bihar,Sitamarhi,843331,406,388,33
01-07-2025,Bihar,Purbi Champaran,845304,185,292,26
01-07-2025,Bihar,Sitamarhi,843319,179,125,10
01-07-2025,Bihar,Nalanda,805130,156,650,25
01-09-2025,Bihar,Araria,854318,30,19,0
01-09-2025,Bihar,Araria,854329,21,2,0
01-09-2025,Bihar,Araria,854333,17,3,0
01-09-2025,Bihar,Araria,854334,5,10,0
01-09-2025,Bihar,Arwal,804401,1,11,0
01-09-2025,Bihar,Arwal,804421,2,10,0
01-09-2025,Bihar,Aurangabad,824121,1,10,0
01-09-2025,Bihar,Aurangabad,824122,1,5,0
01-09-2025,Bihar,Aurangabad,824303,0,3,0
01-09-2025,Bihar,Banka,813104,5,8,0
01-09-2025,Bihar,Begusarai,851115,0,1,0
01-09-2025,Bihar,Begusarai,851126,1,1,0
01-09-2025,Bihar,Begusarai,851127,7,4,0
01-09-2025,Bihar,Begusarai,851133,8,11,0
01-09-2025,Bihar,Begusarai,851204,0,1,0
01-09-2025,Bihar,Bhagalpur,812004,5,4,0
01-09-2025,Bihar,Bhagalpur,813113,1,1,0
01-09-2025,Bihar,Bhagalpur,813204,3,12,0
01-09-2025,Bihar,Bhagalpur,813209,4,10,0
01-09-2025,Bihar,Bhagalpur,813210,7,9,0
01-09-2025,Bihar,Bhagalpur,813231,0,1,0
01-09-2025,Bihar,Bhagalpur,853202,6,4,0
01-09-2025,Bihar,Bhagalpur,853203,7,4,0
01-09-2025,Bihar,Bhojpur,802155,2,5,0
01-09-2025,Bihar,Bhojpur,802156,1,7,0
