date,state,district,pincode,age_0_5,age_5_17,age_18_greater
27-03-2025,Gujarat,Dohad,389180,16,18,27
27-03-2025,Gujarat,Banas Kantha,385330,19,17,26
27-03-2025,Gujarat,Patan,384265,23,12,12
27-03-2025,Gujarat,Morbi,363641,36,12,23
20-03-2025,Gujarat,Banas Kantha,385545,37,11,15
01-04-2025,Gujarat,Gir Somnath,362275,103,19,27
01-04-2025,Gujarat,Morbi,363641,298,64,40
01-04-2025,Gujarat,Bharuch,393001,138,50,23
01-04-2025,Gujarat,Chhotaudepur,391152,31,11,12
01-04-2025,Gujarat,Vadodara,390009,67,15,11
01-04-2025,Gujarat,Bhavnagar,364001,402,22,14
01-04-2025,Gujarat,Panchmahals,389341,63,17,15
01-04-2025,Gujarat,Surat,395003,138,33,18
01-04-2025,Gujarat,Porbandar,360575,205,28,24
01-04-2025,Gujarat,Kachchh,370001,442,73,20
01-04-2025,Gujarat,Morbi,363621,250,41,89
01-04-2025,Gujarat,Mahesana,384001,120,15,25
01-04-2025,Gujarat,Surat,394107,169,69,32
01-04-2025,Gujarat,Gir Somnath,362265,127,20,17
01-04-2025,Gujarat,Bhavnagar,364002,165,14,11
01-04-2025,Gujarat,Patan,384240,62,12,20
01-04-2025,Gujarat,Vadodara,390022,93,20,19
01-04-2025,Gujarat,Gandhinagar,382721,174,32,66
01-04-2025,Gujarat,Kheda,387001,112,18,26
01-04-2025,Gujarat,Vadodara,390001,93,22,16
01-04-2025,Gujarat,Kheda,387430,19,10,19
01-04-2025,Gujarat,Vadodara,390020,35,17,12
01-04-2025,Gujarat,Surat,395004,464,167,38
01-04-2025,Gujarat,Sabarkantha,383422,43,49,23
01-04-2025,Gujarat,Banaskantha,385555,38,18,25
01-04-2025,Gujarat,Rajkot,360022,63,11,21
01-04-2025,Gujarat,Rajkot,360370,140,21,13
01-04-2025,Gujarat,Banaskantha,385530,24,33,22
01-05-2025,Gujarat,Devbhumi Dwarka,361310,36,13,13
01-05-2025,Gujarat,Dahod,389151,162,156,185
01-05-2025,Gujarat,Ahmedabad,380001,171,61,13
01-05-2025,Gujarat,Banaskantha,385566,71,37,19
01-05-2025,Gujarat,Rajkot,360004,215,50,40
01-05-2025,Gujarat,Dahod,389175,55,21,10
01-05-2025,Gujarat,Patan,384240,59,13,13
01-05-2025,Gujarat,Anand,388001,111,22,10
01-05-2025,Gujarat,The Dangs,394710,114,17,14
01-05-2025,Gujarat,Banaskantha,385120,124,115,18
01-05-2025,Gujarat,Dahod,389180,83,113,27
01-05-2025,Gujarat,Sabarkantha,383001,90,41,11
01-05-2025,Gujarat,Rajkot,360003,275,51,16
01-05-2025,Gujarat,Banaskantha,385310,136,101,27
01-05-2025,Gujarat,Gir Somnath,362720,81,13,12
01-05-2025,Gujarat,Rajkot,360007,126,45,40
01-06-2025,Gujarat,Ahmadabad,380001,210,159,14
01-06-2025,Gujarat,Gandhinagar,382721,204,67,41
01-06-2025,Gujarat,Rajkot,363520,114,194,16
01-06-2025,Gujarat,Dang,394716,81,32,34
01-06-2025,Gujarat,Anand,388325,14,11,13
01-06-2025,Gujarat,Banas Kantha,385001,381,320,20
01-06-2025,Gujarat,Dohad,389380,167,40,10
01-06-2025,Gujarat,Dang,394710,141,40,36
01-06-2025,Gujarat,Ahmadabad,382445,61,89,11
01-07-2025,Gujarat,Bhavnagar,364140,218,83,11
01-07-2025,Gujarat,Mahisagar,389210,192,113,10
01-07-2025,Gujarat,Chhotaudepur,391140,49,35,21
01-07-2025,Gujarat,Dohad,389180,334,919,49
01-07-2025,Gujarat,Surat,395007,264,90,12
01-07-2025,Gujarat,Kachchh,370421,47,30,11
01-07-2025,Gujarat,Dohad,389382,131,190,22
01-07-2025,Gujarat,Patan,384241,73,38,11
01-07-2025,Gujarat,Ahmadabad,382220,208,114,16
01-07-2025,Gujarat,Jamnagar,361001,235,55,10
01-07-2025,Gujarat,Ahmadabad,380016,153,106,12
01-07-2025,Gujarat,Amreli,364522,34,23,10
01-07-2025,Gujarat,Rajkot,360002,582,134,34
01-07-2025,Gujarat,Devbhumi Dwarka,360510,103,26,19
01-07-2025,Gujarat,Banas Kantha,385135,128,208,24
01-07-2025,Gujarat,Gandhinagar,382721,269,86,116
01-07-2025,Gujarat,Chhotaudepur,391135,102,66,25
01-07-2025,Gujarat,Banas Kantha,385530,100,180,12
01-07-2025,Gujarat,Porbandar,360570,43,12,10
01-07-2025,Gujarat,Morbi,363621,368,147,81
01-07-2025,Gujarat,Kachchh,370001,295,138,13
01-07-2025,Gujarat,Dohad,389190,245,356,29
