date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-07-2025,Himachal Pradesh,Kullu,175101,57,24,33
01-09-2025,Himachal Pradesh,Bilaspur,174021,2,0,0
01-09-2025,Himachal Pradesh,Bilaspur,174033,1,0,0
01-09-2025,Himachal Pradesh,Bilaspur,174035,1,0,0
01-09-2025,Himachal Pradesh,Hamirpur,177001,3,0,0
01-09-2025,Himachal Pradesh,Hamirpur,177020,4,0,0
01-09-2025,Himachal Pradesh,Kangra,176036,2,0,0
01-09-2025,Himachal Pradesh,Kangra,176098,1,0,0
01-09-2025,Himachal Pradesh,Kangra,176125,2,0,0
01-09-2025,Himachal Pradesh,Kangra,176200,1,0,0
01-09-2025,Himachal Pradesh,Kangra,176209,2,0,0
01-09-2025,Himachal Pradesh,Kangra,177112,1,0,0
01-09-2025,Himachal Pradesh,Kullu,175125,2,0,0
01-09-2025,Himachal Pradesh,Mandi,175002,1,0,0
01-09-2025,Himachal Pradesh,Mandi,175019,1,0,0
01-09-2025,Himachal Pradesh,Sirmaur,173001,1,0,0
01-09-2025,Himachal Pradesh,Solan,174101,1,1,0
01-09-2025,Himachal Pradesh,Una,177220,1,0,0
02-09-2025,Himachal Pradesh,Bilaspur,174015,1,0,0
02-09-2025,Himachal Pradesh,Kangra,176026,1,0,0
02-09-2025,Himachal Pradesh,Kangra,176053,1,0,0
02-09-2025,Himachal Pradesh,Kangra,176225,1,0,0
02-09-2025,Himachal Pradesh,Kangra,177106,1,0,0
02-09-2025,Himachal Pradesh,Kangra,177108,1,0,0
02-09-2025,Himachal Pradesh,Mandi,175019,1,0,0
02-09-2025,Himachal Pradesh,Mandi,175032,2,0,0
02-09-2025,Himachal Pradesh,Mandi,175121,1,0,0
02-09-2025,Himachal Pradesh,Solan,173206,1,0,0
02-09-2025,Himachal Pradesh,Solan,173212,0,2,0
02-09-2025,Himachal Pradesh,Solan,174101,4,1,0
02-09-2025,Himachal Pradesh,Una,174303,1,0,0
03-09-2025,Himachal Pradesh,Hamirpur,177028,1,0,0
03-09-2025,Himachal Pradesh,Hamirpur,177029,1,0,0
03-09-2025,Himachal Pradesh,Hamirpur,177040,1,0,0
03-09-2025,Himachal Pradesh,Kangra,176056,4,0,0
03-09-2025,Himachal Pradesh,Kangra,176216,1,0,0
03-09-2025,Himachal Pradesh,Mandi,175019,1,0,0
03-09-2025,Himachal Pradesh,Mandi,175124,1,0,0
03-09-2025,Himachal Pradesh,Mandi,176120,1,0,0
03-09-2025,Himachal Pradesh,Shimla,171206,0,1,0
03-09-2025,Himachal Pradesh,Solan,173212,1,0,0
03-09-2025,Himachal Pradesh,Una,177207,1,0,0
06-09-2025,Himachal Pradesh,Bilaspur,174004,2,0,0
06-09-2025,Himachal Pradesh,Chamba,176207,3,0,0
06-09-2025,Himachal Pradesh,Chamba,176306,1,0,0
06-09-2025,Himachal Pradesh,Hamirpur,176109,1,0,0
06-09-2025,Himachal Pradesh,Hamirpur,177033,1,0,0
06-09-2025,Himachal Pradesh,Kangra,176047,5,0,0
06-09-2025,Himachal Pradesh,Kangra,176052,1,0,0
06-09-2025,Himachal Pradesh,Kangra,176057,4,0,0
06-09-2025,Himachal Pradesh,Kangra,176077,1,0,0
06-09-2025,Himachal Pradesh,Kangra,176096,1,0,0
06-09-2025,Himachal Pradesh,Kangra,176115,1,0,0
06-09-2025,Himachal Pradesh,Kangra,176215,1,0,0
06-09-2025,Himachal Pradesh,Kangra,176401,1,0,0
06-09-2025,Himachal Pradesh,Kinnaur,172104,0,1,0
06-09-2025,Himachal Pradesh,Kullu,175101,1,0,0
06-09-2025,Himachal Pradesh,Kullu,175102,1,0,0
06-09-2025,Himachal Pradesh,Mandi,175001,2,0,0
06-09-2025,Himachal Pradesh,Mandi,175006,1,0,0
06-09-2025,Himachal Pradesh,Mandi,175033,1,0,0
06-09-2025,Himachal Pradesh,Mandi,175036,3,0,0
06-09-2025,Himachal Pradesh,Mandi,175123,1,0,0
06-09-2025,Himachal Pradesh,Shimla,171001,2,0,0
06-09-2025,Himachal Pradesh,Shimla,171011,1,0,0
06-09-2025,Himachal Pradesh,Shimla,171103,1,0,0
06-09-2025,Himachal Pradesh,Shimla,171208,1,0,0
06-09-2025,Himachal Pradesh,Shimla,171223,1,0,0
06-09-2025,Himachal Pradesh,Shimla,171224,1,0,0
06-09-2025,Himachal Pradesh,Solan,173205,2,0,0
06-09-2025,Himachal Pradesh,Solan,173206,1,0,0
06-09-2025,Himachal Pradesh,Una,177212,2,0,0
07-09-2025,Himachal Pradesh,Kangra,176084,1,0,0
07-09-2025,Himachal Pradesh,Kangra,176206,1,0,0
07-09-2025,Himachal Pradesh,Sirmaur,173025,1,0,0
05-09-2025,Himachal Pradesh,Bilaspur,174001,2,1,0
05-09-2025,Himachal Pradesh,Bilaspur,174002,1,0,0
05-09-2025,Himachal Pradesh,Bilaspur,174034,1,1,0
05-09-2025,Himachal Pradesh,Chamba,176207,3,0,0
05-09-2025,Himachal Pradesh,Chamba,176301,1,0,0
05-09-2025,Himachal Pradesh,Chamba,176302,2,0,0
05-09-2025,Himachal Pradesh,Chamba,176303,2,0,0
05-09-2025,Himachal Pradesh,Chamba,176319,2,0,0
05-09-2025,Himachal Pradesh,Chamba,176320,1,0,0
05-09-2025,Himachal Pradesh,Chamba,176321,1,0,0
05-09-2025,Himachal Pradesh,Hamirpur,174311,1,0,0
05-09-2025,Himachal Pradesh,Hamirpur,176045,1,0,0
05-09-2025,Himachal Pradesh,Hamirpur,177024,1,0,0
05-09-2025,Himachal Pradesh,Hamirpur,177026,1,0,0
05-09-2025,Himachal Pradesh,Hamirpur,177033,1,0,0
05-09-2025,Himachal Pradesh,Kangra,176001,1,0,0
05-09-2025,Himachal Pradesh,Kangra,176022,2,0,0
05-09-2025,Himachal Pradesh,Kangra,176026,1,0,0
05-09-2025,Himachal Pradesh,Kangra,176037,1,0,0
05-09-2025,Himachal Pradesh,Kangra,176038,1,0,0
05-09-2025,Himachal Pradesh,Kangra,176057,2,0,0
05-09-2025,Himachal Pradesh,Kangra,176061,1,0,0
05-09-2025,Himachal Pradesh,Kangra,176085,1,0,0
05-09-2025,Himachal Pradesh,Kangra,176102,1,0,0
05-09-2025,Himachal Pradesh,Kangra,176211,1,0,0
05-09-2025,Himachal Pradesh,Kinnaur,172107,1,0,0
05-09-2025,Himachal Pradesh,Mandi,174403,2,0,0
05-09-2025,Himachal Pradesh,Shimla,171018,1,0,0
