date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Karnataka,Bagalkot,587120,4,0,0
01-09-2025,Karnataka,Bagalkot,587122,4,1,0
01-09-2025,Karnataka,Bagalkot,587203,8,2,0
01-09-2025,Karnataka,Bagalkot,587205,2,0,0
01-09-2025,Karnataka,Bagalkot,587206,6,2,0
01-09-2025,Karnataka,Bagalkot,587207,4,0,0
01-09-2025,Karnataka,Bagalkot,587314,2,1,0
01-09-2025,Karnataka,Bagalkot *,587116,1,0,0
01-09-2025,Karnataka,Bagalkot *,587125,1,0,0
01-09-2025,Karnataka,Ballari,583113,2,1,0
01-09-2025,Karnataka,Ballari,583122,1,0,0
01-09-2025,Karnataka,Ballari,583222,3,0,0
01-09-2025,Karnataka,Bangalore,560005,1,0,0
01-09-2025,Karnataka,Bangalore,560011,2,0,0
01-09-2025,Karnataka,Bangalore,560013,1,0,0
01-09-2025,Karnataka,Bangalore,560023,3,3,0
01-09-2025,Karnataka,Bangalore,560065,1,0,0
01-09-2025,Karnataka,Bangalore,560082,1,0,0
01-09-2025,Karnataka,Bangalore,560088,2,0,0
01-09-2025,Karnataka,Bangalore,560089,1,0,0
01-09-2025,Karnataka,Bangalore,560090,2,0,0
01-09-2025,Karnataka,Bangalore,560097,3,0,0
01-09-2025,Karnataka,Bangalore,560099,2,0,0
01-09-2025,Karnataka,Bangalore,562120,0,1,0
01-09-2025,Karnataka,Bangalore,562125,0,1,0
01-09-2025,Karnataka,Bangalore Rural,561203,10,2,1
01-09-2025,Karnataka,Bangalore Rural,562110,2,1,0
01-09-2025,Karnataka,Bangalore Rural,562122,4,0,0
01-09-2025,Karnataka,Bangalore Rural,562129,3,0,0
01-09-2025,Karnataka,Belagavi,590001,2,1,0
01-09-2025,Karnataka,Belagavi,590006,2,0,0
01-09-2025,Karnataka,Belagavi,591103,0,2,0
01-09-2025,Karnataka,Belagavi,591112,3,0,0
01-09-2025,Karnataka,Belagavi,591122,1,0,0
01-09-2025,Karnataka,Belagavi,591124,1,2,0
01-09-2025,Karnataka,Belagavi,591130,3,1,0
01-09-2025,Karnataka,Belagavi,591220,1,0,0
01-09-2025,Karnataka,Belagavi,591227,3,0,0
01-09-2025,Karnataka,Belagavi,591235,1,1,0
01-09-2025,Karnataka,Belagavi,591236,1,0,0
01-09-2025,Karnataka,Belagavi,591242,1,0,0
01-09-2025,Karnataka,Belgaum,591102,6,0,0
01-09-2025,Karnataka,Belgaum,591111,3,1,0
01-09-2025,Karnataka,Belgaum,591118,1,0,0
01-09-2025,Karnataka,Belgaum,591119,1,0,0
01-09-2025,Karnataka,Belgaum,591129,3,1,0
01-09-2025,Karnataka,Belgaum,591131,4,0,0
01-09-2025,Karnataka,Belgaum,591136,2,0,0
01-09-2025,Karnataka,Belgaum,591153,1,0,0
01-09-2025,Karnataka,Belgaum,591213,1,0,0
01-09-2025,Karnataka,Belgaum,591344,1,0,0
01-09-2025,Karnataka,Bellary,583119,4,0,0
01-09-2025,Karnataka,Bellary,583122,7,0,0
01-09-2025,Karnataka,Bellary,583223,4,0,0
01-09-2025,Karnataka,Bellary,583224,2,3,0
01-09-2025,Karnataka,Bengaluru,560001,2,0,0
01-09-2025,Karnataka,Bengaluru,560004,3,0,0
01-09-2025,Karnataka,Bengaluru,560017,1,0,0
01-09-2025,Karnataka,Bengaluru,560021,2,1,0
01-09-2025,Karnataka,Bengaluru,560029,6,0,2
01-09-2025,Karnataka,Bengaluru,560033,1,0,0
01-09-2025,Karnataka,Bengaluru,560034,1,1,0
01-09-2025,Karnataka,Bengaluru,560035,2,1,4
01-09-2025,Karnataka,Bengaluru,560038,0,1,0
01-09-2025,Karnataka,Bengaluru,560047,0,1,0
01-09-2025,Karnataka,Bengaluru,560092,3,0,2
01-09-2025,Karnataka,Bidar,585401,1,0,0
01-09-2025,Karnataka,Bidar,585416,0,1,0
01-09-2025,Karnataka,Bijapur,586102,1,0,0
01-09-2025,Karnataka,Bijapur,586111,2,0,0
01-09-2025,Karnataka,Bijapur,586208,0,3,0
01-09-2025,Karnataka,Bijapur,586217,5,1,0
01-09-2025,Karnataka,Bijapur,586245,2,0,0
01-09-2025,Karnataka,Chamarajanagar,571127,1,0,0
01-09-2025,Karnataka,Chamarajanagar,571342,1,0,0
01-09-2025,Karnataka,Chamrajanagar,571439,3,0,0
01-09-2025,Karnataka,Chamrajanagar,571457,1,0,0
01-09-2025,Karnataka,Chamrajnagar,571117,1,0,0
01-09-2025,Karnataka,Chickmagalur,577124,1,0,0
01-09-2025,Karnataka,Chickmagalur,577138,1,0,0
01-09-2025,Karnataka,Chickmagalur,577548,4,1,0
01-09-2025,Karnataka,Chikkaballapur,561208,7,0,0
01-09-2025,Karnataka,Chikkaballapur,561210,2,0,0
01-09-2025,Karnataka,Chikkaballapur,562101,7,1,0
01-09-2025,Karnataka,Chikkaballapur,562102,2,0,0
01-09-2025,Karnataka,Chikkaballapur,562104,5,0,0
