date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-07-2025,Kerala,Thiruvananthapuram,695310,10,10,31
01-09-2025,Kerala,Alappuzha,686534,1,0,0
01-09-2025,Kerala,Alappuzha,688008,1,0,0
01-09-2025,Kerala,Alappuzha,688504,1,0,0
01-09-2025,Kerala,Alappuzha,688522,1,0,0
01-09-2025,Kerala,Alappuzha,689573,1,0,0
01-09-2025,Kerala,Alappuzha,690502,2,0,0
01-09-2025,Kerala,Alappuzha,690505,0,1,0
01-09-2025,Kerala,Alappuzha,690537,2,1,0
01-09-2025,Kerala,Ernakulam,682013,0,1,0
01-09-2025,Kerala,Ernakulam,682017,0,2,0
01-09-2025,Kerala,Ernakulam,682024,0,1,0
01-09-2025,Kerala,Ernakulam,682025,0,1,0
01-09-2025,Kerala,Ernakulam,682311,1,0,0
01-09-2025,Kerala,Ernakulam,682502,0,1,0
01-09-2025,Kerala,Ernakulam,682505,0,2,0
01-09-2025,Kerala,Ernakulam,682507,1,1,0
01-09-2025,Kerala,Ernakulam,683518,0,1,0
01-09-2025,Kerala,Ernakulam,683545,1,0,0
01-09-2025,Kerala,Ernakulam,683550,0,1,0
01-09-2025,Kerala,Ernakulam,683572,2,1,0
01-09-2025,Kerala,Ernakulam,686691,1,1,0
01-09-2025,Kerala,Ernakulam,686692,1,1,0
01-09-2025,Kerala,Idukki,685563,1,0,0
01-09-2025,Kerala,Idukki,685581,1,0,0
01-09-2025,Kerala,Idukki,685582,2,0,0
01-09-2025,Kerala,Kannur,670003,1,3,0
01-09-2025,Kerala,Kannur,670005,0,0,2
01-09-2025,Kerala,Kannur,670102,0,1,0
01-09-2025,Kerala,Kannur,670502,1,0,0
01-09-2025,Kerala,Kannur,670561,2,1,0
01-09-2025,Kerala,Kannur,670592,1,1,0
01-09-2025,Kerala,Kannur,670651,1,0,0
01-09-2025,Kerala,Kannur,670673,1,0,0
01-09-2025,Kerala,Kannur,670692,0,4,0
01-09-2025,Kerala,Kannur,670705,1,0,0
01-09-2025,Kerala,Kasaragod,671121,1,0,0
01-09-2025,Kerala,Kasaragod,671317,3,0,0
01-09-2025,Kerala,Kasaragod,671323,5,2,0
01-09-2025,Kerala,Kasargod,671321,2,0,0
01-09-2025,Kerala,Kollam,690523,2,0,0
01-09-2025,Kerala,Kollam,690525,1,0,0
01-09-2025,Kerala,Kollam,691020,0,1,0
01-09-2025,Kerala,Kollam,691334,2,0,0
01-09-2025,Kerala,Kollam,691509,2,0,0
01-09-2025,Kerala,Kollam,691510,0,1,0
01-09-2025,Kerala,Kollam,691515,1,0,0
01-09-2025,Kerala,Kollam,691516,1,0,0
01-09-2025,Kerala,Kollam,691532,1,0,0
01-09-2025,Kerala,Kollam,691573,1,0,0
01-09-2025,Kerala,Kollam,691577,1,2,0
01-09-2025,Kerala,Kottayam,686141,1,0,0
01-09-2025,Kerala,Kottayam,686517,0,0,1
01-09-2025,Kerala,Kottayam,686543,1,0,0
01-09-2025,Kerala,Kottayam,686577,0,1,0
01-09-2025,Kerala,Kottayam,686581,1,0,0
01-09-2025,Kerala,Kottayam,686582,1,0,0
01-09-2025,Kerala,Kottayam,686587,1,0,0
01-09-2025,Kerala,Kottayam,686632,2,0,0
01-09-2025,Kerala,Kottayam,686633,1,0,0
01-09-2025,Kerala,Kozhikode,673006,0,2,0
01-09-2025,Kerala,Kozhikode,673019,3,0,0
01-09-2025,Kerala,Kozhikode,673328,0,1,0
01-09-2025,Kerala,Kozhikode,673501,1,0,0
01-09-2025,Kerala,Kozhikode,673503,0,1,0
01-09-2025,Kerala,Kozhikode,673508,1,1,0
01-09-2025,Kerala,Kozhikode,673528,1,0,0
01-09-2025,Kerala,Kozhikode,673573,6,4,0
01-09-2025,Kerala,Kozhikode,673574,2,1,0
01-09-2025,Kerala,Kozhikode,673612,2,0,0
01-09-2025,Kerala,Kozhikode,673613,1,0,0
01-09-2025,Kerala,Kozhikode,673661,0,3,2
01-09-2025,Kerala,Malappuram,673641,1,3,0
01-09-2025,Kerala,Malappuram,673642,2,2,0
01-09-2025,Kerala,Malappuram,676102,3,2,0
01-09-2025,Kerala,Malappuram,676105,0,1,0
01-09-2025,Kerala,Malappuram,676123,7,3,0
01-09-2025,Kerala,Malappuram,676302,5,2,0
01-09-2025,Kerala,Malappuram,676307,4,1,0
01-09-2025,Kerala,Malappuram,676507,3,3,0
01-09-2025,Kerala,Malappuram,676509,0,1,0
01-09-2025,Kerala,Malappuram,676517,2,1,0
01-09-2025,Kerala,Malappuram,676519,2,1,0
01-09-2025,Kerala,Malappuram,676528,1,0,0
01-09-2025,Kerala,Malappuram,676552,2,6,0
01-09-2025,Kerala,Malappuram,676561,2,0,0
01-09-2025,Kerala,Malappuram,679322,1,1,0
01-09-2025,Kerala,Malappuram,679571,3,1,1
01-09-2025,Kerala,Malappuram,679576,0,3,0
01-09-2025,Kerala,Malappuram,679580,1,1,0
01-09-2025,Kerala,Palakkad,678008,0,1,0
01-09-2025,Kerala,Palakkad,678013,0,1,0
01-09-2025,Kerala,Palakkad,678573,1,0,0
01-09-2025,Kerala,Palakkad,678582,1,3,0
01-09-2025,Kerala,Palakkad,678613,1,0,0
01-09-2025,Kerala,Palakkad,678683,1,1,0
01-09-2025,Kerala,Palakkad,679122,1,0,0
01-09-2025,Kerala,Palakkad,679302,1,0,0
01-09-2025,Kerala,Palakkad,679308,2,0,0
01-09-2025,Kerala,Palakkad,679511,2,1,0
01-09-2025,Kerala,Palakkad,679536,0,3,0
01-09-2025,Kerala,Palakkad,679552,1,1,0
01-09-2025,Kerala,Pathanamthitta,689501,1,0,0
01-09-2025,Kerala,Pathanamthitta,689513,1,0,0
01-09-2025,Kerala,Pathanamthitta,689542,1,0,0
01-09-2025,Kerala,Pathanamthitta,689585,1,0,0
01-09-2025,Kerala,Pathanamthitta,689645,1,0,0
01-09-2025,Kerala,Pathanamthitta,689691,1,0,0
