date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Ladakh,Kargil,194103,8,1,0
02-09-2025,Ladakh,Kargil,194105,2,1,0
06-09-2025,Ladakh,Kargil,194102,1,0,0
04-09-2025,Ladakh,Kargil,194103,1,0,0
04-09-2025,Ladakh,Kargil,194105,1,1,0
04-09-2025,Ladakh,Kargil,194109,1,0,0
04-09-2025,Ladakh,Leh,194201,1,0,0
08-09-2025,Ladakh,Leh,194401,1,0,0
09-09-2025,Ladakh,Kargil,194105,1,0,0
10-09-2025,Ladakh,Leh,194201,1,0,0
11-09-2025,Ladakh,Kargil,194109,1,0,0
18-09-2025,Ladakh,Kargil,194109,1,0,0
17-09-2025,Ladakh,Kargil,194105,1,0,0
19-09-2025,Ladakh,Leh,194101,1,0,0
23-09-2025,Ladakh,Kargil,194109,1,0,0
27-09-2025,Ladakh,Kargil,194105,2,0,0
13-10-2025,Ladakh,Leh,194401,1,3,0
15-10-2025,Ladakh,Kargil,194103,1,2,0
16-10-2025,Ladakh,Kargil,194301,1,0,0
16-10-2025,Ladakh,Kargil,194403,0,1,0
16-10-2025,Ladakh,Leh,194401,1,0,0
17-10-2025,Ladakh,Kargil,194103,1,3,0
01-09-2025,Ladakh,Kargil,194109,1,0,0
06-09-2025,Ladakh,Leh,194101,1,0,1
05-09-2025,Ladakh,Kargil,194302,1,1,0
10-09-2025,Ladakh,Kargil,194103,0,1,0
13-09-2025,Ladakh,Kargil,194103,2,1,0
13-09-2025,Ladakh,Kargil,194301,2,2,0
12-09-2025,Ladakh,Kargil,194109,1,0,0
12-09-2025,Ladakh,Leh,194401,1,0,0
16-09-2025,Ladakh,Kargil,194301,0,1,0
15-09-2025,Ladakh,Kargil,194102,3,0,0
15-09-2025,Ladakh,Kargil,194109,1,0,0
15-09-2025,Ladakh,Kargil,194301,3,1,0
23-09-2025,Ladakh,Kargil,194301,0,3,0
26-09-2025,Ladakh,Kargil,194103,1,1,0
27-09-2025,Ladakh,Kargil,194103,0,1,0
27-09-2025,Ladakh,Kargil,194109,0,1,0
15-10-2025,Ladakh,Kargil,194105,2,0,1
16-10-2025,Ladakh,Kargil,194103,1,0,0
16-10-2025,Ladakh,Kargil,194109,1,0,0
17-10-2025,Ladakh,Leh,194401,4,0,0
02-09-2025,Ladakh,Kargil,194103,2,2,0
07-09-2025,Ladakh,Kargil,194105,1,0,0
09-09-2025,Ladakh,Leh,194201,1,0,0
10-09-2025,Ladakh,Kargil,194102,7,0,0
10-09-2025,Ladakh,Kargil,194301,0,1,0
11-09-2025,Ladakh,Kargil,194301,2,0,0
12-09-2025,Ladakh,Kargil,194102,7,0,0
12-09-2025,Ladakh,Kargil,194103,0,1,0
12-09-2025,Ladakh,Kargil,194105,1,0,0
15-09-2025,Ladakh,Kargil,194103,1,0,0
15-09-2025,Ladakh,Leh,194104,1,0,0
16-09-2025,Ladakh,Kargil,194105,4,0,0
18-09-2025,Ladakh,Kargil,194103,2,1,0
23-09-2025,Ladakh,Leh,194104,1,0,0
22-09-2025,Ladakh,Kargil,194105,1,0,0
22-09-2025,Ladakh,Kargil,194301,1,1,0
13-10-2025,Ladakh,Kargil,194102,3,0,0
13-10-2025,Ladakh,Leh,194101,2,0,0
16-10-2025,Ladakh,Kargil,194105,1,1,0
16-10-2025,Ladakh,Kargil,194302,2,0,0
15-10-2025,Ladakh,Kargil,194102,2,0,0
17-10-2025,Ladakh,Leh,194101,1,1,0
02-09-2025,Ladakh,Leh,194101,3,0,0
04-09-2025,Ladakh,Kargil,194301,1,0,0
05-09-2025,Ladakh,Leh,194106,1,0,0
06-09-2025,Ladakh,Kargil,194109,1,0,0
06-09-2025,Ladakh,Kargil,194301,1,0,0
09-09-2025,Ladakh,Kargil,194103,2,1,0
09-09-2025,Ladakh,Kargil,194109,1,0,0
12-09-2025,Ladakh,Kargil,194301,1,1,0
13-09-2025,Ladakh,Kargil,194102,1,1,0
18-09-2025,Ladakh,Kargil,194301,1,2,0
17-09-2025,Ladakh,Kargil,194102,3,0,0
20-09-2025,Ladakh,Kargil,194301,1,1,0
23-09-2025,Ladakh,Kargil,194103,2,0,0
22-09-2025,Ladakh,Kargil,194103,0,1,0
24-09-2025,Ladakh,Kargil,194103,0,2,0
24-09-2025,Ladakh,Kargil,194301,0,3,0
13-10-2025,Ladakh,Kargil,194103,0,1,0
13-10-2025,Ladakh,Kargil,194109,1,0,0
13-10-2025,Ladakh,Kargil,194301,0,1,0
15-10-2025,Ladakh,Leh,194101,0,0,1
