date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Meghalaya,East Garo Hills,794002,0,1,0
01-09-2025,Meghalaya,East Khasi Hills,793002,1,0,2
01-09-2025,Meghalaya,East Khasi Hills,793004,0,3,1
01-09-2025,Meghalaya,East Khasi Hills,793108,0,4,3
01-09-2025,Meghalaya,East Khasi Hills,793111,1,4,1
01-09-2025,Meghalaya,East Khasi Hills,793120,0,0,1
01-09-2025,Meghalaya,Ri Bhoi,793102,2,7,7
01-09-2025,Meghalaya,Ri Bhoi,793122,0,0,1
01-09-2025,Meghalaya,South Garo Hills,794107,0,0,2
01-09-2025,Meghalaya,South West Garo Hills,794101,1,0,0
01-09-2025,Meghalaya,South West Garo Hills,794103,1,0,0
01-09-2025,Meghalaya,South West Khasi Hills,793114,3,2,5
01-09-2025,Meghalaya,South West Khasi Hills,793119,1,2,1
01-09-2025,Meghalaya,West Garo Hills,794001,0,5,2
01-09-2025,Meghalaya,West Garo Hills,794002,2,7,5
01-09-2025,Meghalaya,West Garo Hills,794101,2,0,0
01-04-2025,Meghalaya,East Khasi Hills,793112,29,83,18
01-04-2025,Meghalaya,East Khasi Hills,793008,16,195,85
01-04-2025,Meghalaya,East Khasi Hills,793108,57,188,56
01-04-2025,Meghalaya,East Khasi Hills,793016,13,56,21
01-04-2025,Meghalaya,East Khasi Hills,793015,190,706,242
01-04-2025,Meghalaya,East Khasi Hills,793121,301,972,290
01-05-2025,Meghalaya,West Garo Hills,794101,17,45,27
01-05-2025,Meghalaya,South West Khasi Hills,793119,19,49,34
01-05-2025,Meghalaya,East Jaintia Hills,793200,93,166,174
01-05-2025,Meghalaya,East Khasi Hills,793108,41,51,70
01-05-2025,Meghalaya,Ri Bhoi,793103,57,140,120
01-05-2025,Meghalaya,West Garo Hills,794105,71,54,65
01-05-2025,Meghalaya,West Khasi Hills,793120,167,215,379
01-05-2025,Meghalaya,South West Garo Hills,794105,158,96,66
01-05-2025,Meghalaya,East Khasi Hills,793008,11,44,54
01-05-2025,Meghalaya,South Garo Hills,794103,15,79,32
01-05-2025,Meghalaya,East Jaintia Hills,793160,32,82,82
01-05-2025,Meghalaya,West Garo Hills,794005,28,45,72
01-05-2025,Meghalaya,West Jaintia Hills,793150,417,416,309
01-05-2025,Meghalaya,East Khasi Hills,793004,27,54,21
01-06-2025,Meghalaya,East Khasi Hills,793001,19,118,33
01-06-2025,Meghalaya,West Garo Hills,794109,76,92,78
01-06-2025,Meghalaya,West Garo Hills,794005,29,199,240
