date,state,district,pincode,age_0_5,age_5_17,age_18_greater
27-03-2025,Madhya Pradesh,Bhind,477116,17,15,11
20-03-2025,Madhya Pradesh,Gwalior,474001,73,25,18
01-04-2025,Madhya Pradesh,Guna,473101,110,32,11
01-04-2025,Madhya Pradesh,Khargone,451001,166,37,12
01-04-2025,Madhya Pradesh,Guna,473001,523,88,20
01-04-2025,Madhya Pradesh,Ashok Nagar,473335,125,29,22
01-04-2025,Madhya Pradesh,Ashok Nagar,473443,141,57,15
01-04-2025,Madhya Pradesh,Bhind,477116,142,60,32
01-04-2025,Madhya Pradesh,Bhind,477001,391,92,27
01-04-2025,Madhya Pradesh,Betul,460001,193,20,10
01-05-2025,Madhya Pradesh,Barwani,451447,431,204,20
01-05-2025,Madhya Pradesh,Dewas,455001,518,87,17
01-05-2025,Madhya Pradesh,Bhind,477116,157,81,16
01-05-2025,Madhya Pradesh,Barwani,451551,655,350,13
01-05-2025,Madhya Pradesh,Chhatarpur,471405,185,155,12
01-05-2025,Madhya Pradesh,Bhind,477331,64,25,12
01-06-2025,Madhya Pradesh,Alirajpur,457882,68,111,13
01-06-2025,Madhya Pradesh,Burhanpur,450332,343,186,10
01-06-2025,Madhya Pradesh,Burhanpur,450221,143,61,21
01-06-2025,Madhya Pradesh,Bhind,477557,257,110,13
01-06-2025,Madhya Pradesh,Khargone,451332,242,258,26
01-07-2025,Madhya Pradesh,Panna,488001,301,173,13
01-07-2025,Madhya Pradesh,Khargone,451331,235,234,18
01-07-2025,Madhya Pradesh,Alirajpur,457993,215,450,37
01-07-2025,Madhya Pradesh,Khargone,451332,509,579,61
01-07-2025,Madhya Pradesh,Shivpuri,473551,617,705,42
01-07-2025,Madhya Pradesh,Sagar,470002,415,59,12
01-07-2025,Madhya Pradesh,Jhabua,457661,520,1091,65
01-07-2025,Madhya Pradesh,Barwani,451666,1400,1376,79
01-07-2025,Madhya Pradesh,Sagar,470227,167,52,10
01-07-2025,Madhya Pradesh,Dhar,454446,518,380,24
01-07-2025,Madhya Pradesh,Morena,476221,631,492,18
01-07-2025,Madhya Pradesh,Morena,476111,529,533,25
01-07-2025,Madhya Pradesh,Bhind,477445,174,231,31
01-07-2025,Madhya Pradesh,Indore,452001,994,432,41
01-07-2025,Madhya Pradesh,Bhind,477001,499,262,23
01-09-2025,Madhya Pradesh,Agar Malwa,465447,3,0,0
01-09-2025,Madhya Pradesh,Alirajpur,457888,7,11,0
01-09-2025,Madhya Pradesh,Anuppur,484113,1,0,0
01-09-2025,Madhya Pradesh,Anuppur,484440,1,0,0
01-09-2025,Madhya Pradesh,Ashok Nagar,473330,19,4,0
01-09-2025,Madhya Pradesh,Ashok Nagar,473332,1,0,0
01-09-2025,Madhya Pradesh,Ashok Nagar,473335,7,4,0
