date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Orissa,Balangir,767016,1,0,0
01-09-2025,Orissa,Balangir,767035,2,0,0
01-09-2025,Orissa,Balangir,767066,2,0,0
01-09-2025,Orissa,Baleshwar,756041,0,1,0
01-09-2025,Orissa,Baleshwar,756081,1,0,0
01-09-2025,Orissa,Bargarh,768103,1,0,0
01-09-2025,Orissa,Bhadrak,756125,1,0,0
01-09-2025,Orissa,Ganjam,760008,1,0,0
01-09-2025,Orissa,Ganjam,761020,4,2,0
01-09-2025,Orissa,Jajapur,755025,1,0,0
01-09-2025,Orissa,Khordha,751001,0,1,0
01-09-2025,Orissa,Khordha,752101,1,0,0
01-09-2025,Orissa,Malkangiri,764046,2,0,0
01-09-2025,Orissa,Mayurbhanj,757030,1,0,0
01-09-2025,Orissa,Puri,752107,0,1,0
01-09-2025,Orissa,Puri,752118,1,0,0
02-09-2025,Orissa,Balangir,767032,1,0,0
02-09-2025,Orissa,Balangir,767046,0,1,0
02-09-2025,Orissa,Cuttack,754021,1,0,0
02-09-2025,Orissa,Ganjam,760009,1,0,0
02-09-2025,Orissa,Ganjam,761045,1,0,0
02-09-2025,Orissa,Khordha,751018,1,0,0
02-09-2025,Orissa,Koraput,764081,1,0,0
02-09-2025,Orissa,Puri,752002,1,0,0
02-09-2025,Orissa,Sonapur,767017,1,0,0
02-09-2025,Orissa,Sundargarh,769001,1,0,0
02-09-2025,Orissa,Sundargarh,769009,0,1,0
03-09-2025,Orissa,Balangir,767020,1,0,0
03-09-2025,Orissa,Balangir,767033,1,0,0
03-09-2025,Orissa,Baleshwar,756027,2,0,0
03-09-2025,Orissa,Bargarh,768103,1,0,0
03-09-2025,Orissa,Dhenkanal,759027,1,0,0
03-09-2025,Orissa,Ganjam,760006,1,0,0
03-09-2025,Orissa,Ganjam,761001,1,0,0
03-09-2025,Orissa,Mayurbhanj,757036,1,0,0
03-09-2025,Orissa,Mayurbhanj,757091,1,0,0
03-09-2025,Orissa,Nayagarh,752092,1,0,0
07-09-2025,Orissa,Balangir,767040,0,1,0
