date,state,district,pincode,age_0_5,age_5_17,age_18_greater
03-09-2025,Pondicherry,Karaikal,609609,3,0,0
03-09-2025,Pondicherry,Pondicherry,605004,1,0,0
02-09-2025,Pondicherry,Karaikal,609603,1,0,0
02-09-2025,Pondicherry,Pondicherry,605003,2,0,0
02-09-2025,Pondicherry,Pondicherry,605009,1,1,0
02-09-2025,Pondicherry,Pondicherry,605502,2,0,0
01-09-2025,Pondicherry,Pondicherry,605001,2,0,0
01-09-2025,Pondicherry,Pondicherry,605008,1,0,0
04-09-2025,Pondicherry,Pondicherry,605004,2,0,0
04-09-2025,Pondicherry,Pondicherry,605009,4,0,0
06-09-2025,Pondicherry,Pondicherry,605107,1,0,0
06-09-2025,Pondicherry,Pondicherry,607402,1,0,0
08-09-2025,Pondicherry,Pondicherry,605008,2,1,0
08-09-2025,Pondicherry,Pondicherry,605106,1,0,0
09-09-2025,Pondicherry,Karaikal,609607,1,0,0
09-09-2025,Pondicherry,Pondicherry,607402,4,0,0
10-09-2025,Pondicherry,Pondicherry,605003,3,0,0
10-09-2025,Pondicherry,Pondicherry,605014,1,0,0
10-09-2025,Pondicherry,Pondicherry,605105,1,0,0
10-09-2025,Pondicherry,Pondicherry,605110,1,0,0
11-09-2025,Pondicherry,Karaikal,609609,1,0,0
12-09-2025,Pondicherry,Pondicherry,605007,2,0,0
12-09-2025,Pondicherry,Pondicherry,605008,0,1,0
12-09-2025,Pondicherry,Pondicherry,605106,2,1,0
13-09-2025,Pondicherry,Pondicherry,605110,1,1,0
15-09-2025,Pondicherry,Pondicherry,605009,1,0,0
15-09-2025,Pondicherry,Pondicherry,605110,1,0,0
16-09-2025,Pondicherry,Karaikal,609605,1,0,0
16-09-2025,Pondicherry,Pondicherry,605010,1,0,0
16-09-2025,Pondicherry,Pondicherry,605107,1,0,0
17-09-2025,Pondicherry,Pondicherry,605014,1,0,0
19-09-2025,Pondicherry,Pondicherry,605007,1,0,0
20-09-2025,Pondicherry,Karaikal,609604,2,0,0
20-09-2025,Pondicherry,Karaikal,609605,1,0,0
20-09-2025,Pondicherry,Karaikal,609607,3,0,0
20-09-2025,Pondicherry,Pondicherry,605001,1,0,0
22-09-2025,Pondicherry,Karaikal,609606,1,0,0
22-09-2025,Pondicherry,Karaikal,609607,1,0,0
22-09-2025,Pondicherry,Pondicherry,605105,1,0,0
22-09-2025,Pondicherry,Pondicherry,605501,1,0,0
22-09-2025,Pondicherry,Pondicherry,673310,2,0,0
25-09-2025,Pondicherry,Karaikal,609602,3,0,0
25-09-2025,Pondicherry,Pondicherry,605003,1,0,0
25-09-2025,Pondicherry,Pondicherry,605004,1,0,0
23-09-2025,Pondicherry,Pondicherry,607402,2,0,0
24-09-2025,Pondicherry,Karaikal,609603,1,0,0
24-09-2025,Pondicherry,Pondicherry,605001,2,0,0
24-09-2025,Pondicherry,Pondicherry,605004,2,0,0
24-09-2025,Pondicherry,Pondicherry,605502,1,0,0
24-09-2025,Pondicherry,Pondicherry,673310,1,0,0
27-09-2025,Pondicherry,Pondicherry,605003,1,0,0
27-09-2025,Pondicherry,Pondicherry,605009,1,0,0
27-09-2025,Pondicherry,Pondicherry,605111,1,0,0
26-09-2025,Pondicherry,Karaikal,609603,1,0,0
26-09-2025,Pondicherry,Karaikal,609605,1,0,0
26-09-2025,Pondicherry,Yanam,533464,1,0,0
29-09-2025,Pondicherry,Pondicherry,605007,1,0,0
29-09-2025,Pondicherry,Pondicherry,605110,1,0,0
30-09-2025,Pondicherry,Pondicherry,605009,1,0,0
13-10-2025,Pondicherry,Pondicherry,605009,1,0,0
15-10-2025,Pondicherry,Pondicherry,605007,1,0,0
16-10-2025,Pondicherry,Pondicherry,605107,1,0,0
17-10-2025,Pondicherry,Pondicherry,605013,2,0,0
17-10-2025,Pondicherry,Pondicherry,673310,2,0,0
03-09-2025,Pondicherry,Karaikal,609603,1,0,0
03-09-2025,Pondicherry,Pondicherry,605001,2,0,0
03-09-2025,Pondicherry,Pondicherry,605005,1,0,0
03-09-2025,Pondicherry,Pondicherry,605007,3,0,0
03-09-2025,Pondicherry,Pondicherry,605008,2,0,0
03-09-2025,Pondicherry,Pondicherry,605102,1,0,0
03-09-2025,Pondicherry,Pondicherry,605107,1,0,0
02-09-2025,Pondicherry,Pondicherry,605007,1,0,0
02-09-2025,Pondicherry,Pondicherry,605011,1,0,0
02-09-2025,Pondicherry,Pondicherry,605102,6,0,0
02-09-2025,Pondicherry,Pondicherry,605105,1,0,0
02-09-2025,Pondicherry,Pondicherry,673310,2,0,0
01-09-2025,Pondicherry,Karaikal,609602,2,0,0
01-09-2025,Pondicherry,Pondicherry,605003,2,0,0
01-09-2025,Pondicherry,Pondicherry,605013,3,0,0
01-09-2025,Pondicherry,Pondicherry,605014,1,0,0
01-09-2025,Pondicherry,Pondicherry,605102,4,0,0
01-09-2025,Pondicherry,Pondicherry,607402,2,0,0
04-09-2025,Pondicherry,Karaikal,609602,1,0,0
04-09-2025,Pondicherry,Pondicherry,605008,4,0,0
04-09-2025,Pondicherry,Pondicherry,605014,2,0,0
04-09-2025,Pondicherry,Pondicherry,605502,1,0,0
04-09-2025,Pondicherry,Pondicherry,607402,5,0,0
09-09-2025,Pondicherry,Pondicherry,605004,6,0,0
09-09-2025,Pondicherry,Pondicherry,605007,2,0,0
08-09-2025,Pondicherry,Karaikal,609605,1,0,0
08-09-2025,Pondicherry,Pondicherry,605102,1,0,0
10-09-2025,Pondicherry,Karaikal,609601,1,0,0
10-09-2025,Pondicherry,Pondicherry,605008,1,0,0
10-09-2025,Pondicherry,Pondicherry,605013,1,0,0
10-09-2025,Pondicherry,Pondicherry,605106,1,0,0
10-09-2025,Pondicherry,Pondicherry,605501,3,0,0
10-09-2025,Pondicherry,Pondicherry,605502,2,0,0
11-09-2025,Pondicherry,Pondicherry,605007,1,0,0
11-09-2025,Pondicherry,Pondicherry,605110,1,1,0
13-09-2025,Pondicherry,Pondicherry,605001,1,0,0
13-09-2025,Pondicherry,Pondicherry,605004,1,0,0
13-09-2025,Pondicherry,Pondicherry,605008,1,0,0
13-09-2025,Pondicherry,Pondicherry,605102,1,0,0
13-09-2025,Pondicherry,Pondicherry,605502,0,1,0
13-09-2025,Pondicherry,Pondicherry,607402,2,0,0
15-09-2025,Pondicherry,Pondicherry,605107,2,0,0
15-09-2025,Pondicherry,Yanam,533464,0,2,0
16-09-2025,Pondicherry,Pondicherry,605502,1,0,0
17-09-2025,Pondicherry,Pondicherry,605005,0,1,0
19-09-2025,Pondicherry,Pondicherry,605106,1,0,0
22-09-2025,Pondicherry,Karaikal,609603,1,0,0
22-09-2025,Pondicherry,Pondicherry,605007,1,2,0
22-09-2025,Pondicherry,Pondicherry,605111,1,0,0
25-09-2025,Pondicherry,Karaikal,609607,1,0,0
25-09-2025,Pondicherry,Pondicherry,605012,2,0,0
23-09-2025,Pondicherry,Pondicherry,605008,2,0,0
24-09-2025,Pondicherry,Pondicherry,605007,1,0,0
24-09-2025,Pondicherry,Pondicherry,605008,1,0,0
24-09-2025,Pondicherry,Pondicherry,605107,2,0,0
