date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Rajasthan,Ajmer,305003,0,1,0
01-09-2025,Rajasthan,Ajmer,305021,0,1,0
01-09-2025,Rajasthan,Ajmer,305207,1,0,0
01-09-2025,Rajasthan,Ajmer,305401,0,2,0
01-09-2025,Rajasthan,Ajmer,305415,1,0,0
01-09-2025,Rajasthan,Ajmer,305901,22,2,0
01-09-2025,Rajasthan,Ajmer,305927,2,0,0
01-09-2025,Rajasthan,Alwar,301024,14,4,0
01-09-2025,Rajasthan,Alwar,301027,1,3,0
01-09-2025,Rajasthan,Alwar,301028,5,3,0
01-09-2025,Rajasthan,Alwar,301403,2,2,0
01-09-2025,Rajasthan,Alwar,301404,8,6,0
01-09-2025,Rajasthan,Alwar,301410,9,3,0
01-09-2025,Rajasthan,Alwar,301411,7,5,0
01-09-2025,Rajasthan,Alwar,301413,6,4,0
01-09-2025,Rajasthan,Alwar,301414,3,0,0
01-09-2025,Rajasthan,Alwar,301701,6,6,0
01-09-2025,Rajasthan,Alwar,301706,2,1,0
01-09-2025,Rajasthan,Alwar,301709,2,1,0
01-09-2025,Rajasthan,Banswara,327001,19,7,0
01-09-2025,Rajasthan,Banswara,327604,4,1,0
01-09-2025,Rajasthan,Banswara,327606,2,3,0
01-09-2025,Rajasthan,Baran,325218,1,0,0
01-09-2025,Rajasthan,Baran,325220,14,10,0
01-09-2025,Rajasthan,Baran,325221,9,0,0
01-09-2025,Rajasthan,Baran,325222,0,1,0
01-09-2025,Rajasthan,Baran,325223,2,0,0
01-09-2025,Rajasthan,Barmer,344001,12,5,0
01-09-2025,Rajasthan,Barmer,344031,7,6,0
01-09-2025,Rajasthan,Barmer,344037,4,1,0
01-09-2025,Rajasthan,Barmer,344043,2,0,0
01-09-2025,Rajasthan,Barmer,344703,2,2,0
01-09-2025,Rajasthan,Bharatpur,321022,15,10,2
01-09-2025,Rajasthan,Bharatpur,321025,5,9,0
01-09-2025,Rajasthan,Bharatpur,321203,7,3,0
01-09-2025,Rajasthan,Bharatpur,321303,14,1,0
01-09-2025,Rajasthan,Bharatpur,321642,1,2,0
01-09-2025,Rajasthan,Bhilwara,311203,10,1,0
01-09-2025,Rajasthan,Bhilwara,311302,4,0,0
01-09-2025,Rajasthan,Bhilwara,311403,2,1,1
01-09-2025,Rajasthan,Bhilwara,311408,1,0,0
01-09-2025,Rajasthan,Bhilwara,311804,7,2,0
01-09-2025,Rajasthan,Bikaner,331803,9,10,0
01-09-2025,Rajasthan,Bikaner,334023,8,5,0
01-09-2025,Rajasthan,Bikaner,334305,1,2,0
01-09-2025,Rajasthan,Bikaner,334403,1,0,0
01-09-2025,Rajasthan,Bikaner,334601,0,1,0
01-09-2025,Rajasthan,Bikaner,334801,0,1,0
01-09-2025,Rajasthan,Bikaner,334804,2,3,0
01-09-2025,Rajasthan,Bundi,323001,3,1,0
01-09-2025,Rajasthan,Bundi,323301,9,1,0
01-09-2025,Rajasthan,Bundi,323601,2,1,0
01-09-2025,Rajasthan,Bundi,323603,3,0,0
01-09-2025,Rajasthan,Chittaurgarh,312404,1,0,0
01-09-2025,Rajasthan,Chittaurgarh,312601,3,0,0
01-09-2025,Rajasthan,Chittaurgarh,323305,1,0,0
01-09-2025,Rajasthan,Chittaurgarh,323307,4,0,0
01-09-2025,Rajasthan,Chittorgarh,312022,2,0,0
01-09-2025,Rajasthan,Chittorgarh,312024,6,1,0
01-09-2025,Rajasthan,Chittorgarh,312204,2,0,0
01-09-2025,Rajasthan,Chittorgarh,312207,4,0,0
01-09-2025,Rajasthan,Chittorgarh,312614,4,1,0
01-09-2025,Rajasthan,Churu,331303,0,1,0
01-09-2025,Rajasthan,Churu,331403,12,13,0
01-09-2025,Rajasthan,Churu,331505,2,1,0
01-09-2025,Rajasthan,Dausa,303313,11,3,0
01-09-2025,Rajasthan,Dausa,303323,3,0,0
01-09-2025,Rajasthan,Dausa,303326,4,1,0
01-09-2025,Rajasthan,Dausa,303501,4,3,0
01-09-2025,Rajasthan,Dausa,303506,3,2,0
01-09-2025,Rajasthan,Dausa,303509,1,1,0
01-09-2025,Rajasthan,Dausa,321609,4,0,0
01-09-2025,Rajasthan,Dausa,321612,0,2,0
01-09-2025,Rajasthan,Dausa,322240,1,0,0
01-09-2025,Rajasthan,Dholpur,328022,4,4,0
01-09-2025,Rajasthan,Dholpur,328024,8,5,0
01-09-2025,Rajasthan,Dholpur,328025,2,1,0
01-09-2025,Rajasthan,Dholpur,328031,1,1,0
01-09-2025,Rajasthan,Dungarpur,314021,2,2,0
01-09-2025,Rajasthan,Dungarpur,314023,3,1,0
01-09-2025,Rajasthan,Dungarpur,314402,1,1,0
01-09-2025,Rajasthan,Ganganagar,335037,0,1,0
01-09-2025,Rajasthan,Ganganagar,335041,9,3,0
01-09-2025,Rajasthan,Ganganagar,335701,10,1,0
01-09-2025,Rajasthan,Ganganagar,335804,1,1,0
01-09-2025,Rajasthan,Hanumangarh,335502,1,0,0
01-09-2025,Rajasthan,Jaipur,302003,8,3,0
