date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-06-2025,Telangana,Hyderabad,500028,295,178,11
01-07-2025,Telangana,Hyderabad,500013,492,126,11
01-07-2025,Telangana,Hyderabad,500001,253,132,23
01-07-2025,Telangana,Hyderabad,500029,98,51,14
01-07-2025,Telangana,Hyderabad,500032,92,53,20
01-04-2025,Telangana,Hyderabad,500059,160,22,10
03-09-2025,Telangana,Adilabad,504001,13,0,0
03-09-2025,Telangana,Adilabad,504346,4,1,0
03-09-2025,Telangana,Bhadradri Kothagudem,507101,1,0,0
03-09-2025,Telangana,Bhadradri Kothagudem,507124,3,1,0
03-09-2025,Telangana,Hanumakonda,505122,1,0,0
03-09-2025,Telangana,Hanumakonda,506006,2,1,0
03-09-2025,Telangana,Hanumakonda,506009,2,0,0
03-09-2025,Telangana,Hyderabad,500007,1,0,0
03-09-2025,Telangana,Hyderabad,500010,0,1,0
03-09-2025,Telangana,Hyderabad,500011,2,0,0
03-09-2025,Telangana,Hyderabad,500012,1,0,0
03-09-2025,Telangana,Hyderabad,500023,12,4,0
03-09-2025,Telangana,Hyderabad,500028,13,1,0
03-09-2025,Telangana,Hyderabad,500033,1,0,0
03-09-2025,Telangana,Hyderabad,500034,5,2,3
03-09-2025,Telangana,Hyderabad,500040,4,0,0
03-09-2025,Telangana,Hyderabad,500045,4,1,0
03-09-2025,Telangana,Hyderabad,500049,1,1,0
03-09-2025,Telangana,Hyderabad,500053,25,11,0
03-09-2025,Telangana,Hyderabad,500058,1,1,0
03-09-2025,Telangana,Hyderabad,500062,4,1,0
03-09-2025,Telangana,Hyderabad,500064,17,4,0
03-09-2025,Telangana,Hyderabad,500072,1,1,0
03-09-2025,Telangana,Jagitial,505450,1,0,0
03-09-2025,Telangana,Jagitial,505453,2,0,0
03-09-2025,Telangana,Jangaon,506252,0,2,0
03-09-2025,Telangana,Jangoan,506222,1,0,0
03-09-2025,Telangana,Jogulamba Gadwal,509128,3,0,0
03-09-2025,Telangana,K.v. Rangareddy,500018,10,1,0
03-09-2025,Telangana,K.v. Rangareddy,500030,1,0,0
03-09-2025,Telangana,K.v. Rangareddy,500032,3,0,0
03-09-2025,Telangana,K.v. Rangareddy,500068,2,2,0
03-09-2025,Telangana,K.v. Rangareddy,500074,3,1,0
03-09-2025,Telangana,K.v. Rangareddy,500077,4,0,0
03-09-2025,Telangana,K.v. Rangareddy,500083,1,0,0
03-09-2025,Telangana,K.v. Rangareddy,500084,0,1,0
03-09-2025,Telangana,K.v. Rangareddy,500091,2,0,0
03-09-2025,Telangana,K.v. Rangareddy,500092,0,1,0
03-09-2025,Telangana,K.v. Rangareddy,501106,3,0,0
03-09-2025,Telangana,K.v. Rangareddy,501202,3,1,0
03-09-2025,Telangana,K.v. Rangareddy,501359,4,0,0
03-09-2025,Telangana,K.v. Rangareddy,501511,2,0,0
03-09-2025,Telangana,K.v. Rangareddy,509335,2,3,0
03-09-2025,Telangana,K.v. Rangareddy,509357,1,0,0
03-09-2025,Telangana,Kamareddy,503120,1,0,0
03-09-2025,Telangana,Karimnagar,505184,3,2,0
03-09-2025,Telangana,Karimnagar,505185,2,0,0
03-09-2025,Telangana,Karimnagar,505186,1,0,0
03-09-2025,Telangana,Karimnagar,505187,0,1,0
03-09-2025,Telangana,Karimnagar,505188,5,0,0
03-09-2025,Telangana,Karimnagar,505209,2,2,0
03-09-2025,Telangana,Karimnagar,505212,3,1,0
03-09-2025,Telangana,Karimnagar,505215,2,0,0
03-09-2025,Telangana,Karimnagar,505304,1,0,0
03-09-2025,Telangana,Karimnagar,505326,0,1,0
03-09-2025,Telangana,Karimnagar,505445,1,0,0
03-09-2025,Telangana,Karimnagar,505455,1,0,0
03-09-2025,Telangana,Karimnagar,505462,1,0,0
03-09-2025,Telangana,Karimnagar,505502,3,1,0
03-09-2025,Telangana,Karimnagar,505503,3,0,0
03-09-2025,Telangana,Karimnagar,505525,1,0,0
03-09-2025,Telangana,Karimnagar,505529,2,0,0
03-09-2025,Telangana,Khammam,507003,6,15,0
03-09-2025,Telangana,Khammam,507123,1,0,0
03-09-2025,Telangana,Khammam,507170,3,5,0
03-09-2025,Telangana,Khammam,507182,1,0,0
03-09-2025,Telangana,Khammam,507316,1,0,0
03-09-2025,Telangana,Komaram Bheem,504273,2,0,0
03-09-2025,Telangana,Komaram Bheem,504293,5,1,0
03-09-2025,Telangana,Mahabubabad,506163,4,1,0
03-09-2025,Telangana,Mahabubabad,506317,2,0,0
03-09-2025,Telangana,Mahabubabad,506381,2,0,0
03-09-2025,Telangana,Mahabubnagar,509127,2,0,0
03-09-2025,Telangana,Mahabubnagar,509128,1,0,0
03-09-2025,Telangana,Mahabubnagar,509131,0,1,0
03-09-2025,Telangana,Mahabubnagar,509152,1,0,0
03-09-2025,Telangana,Mahabubnagar,509201,2,3,0
03-09-2025,Telangana,Mahabubnagar,509215,2,0,0
03-09-2025,Telangana,Mahabubnagar,509235,2,0,0
03-09-2025,Telangana,Mahabubnagar,509311,6,0,0
03-09-2025,Telangana,Mahabubnagar,509321,1,2,0
03-09-2025,Telangana,Mahabubnagar,509337,1,0,0
03-09-2025,Telangana,Mahabubnagar,509340,4,4,0
03-09-2025,Telangana,Mahabubnagar,509371,8,4,0
03-09-2025,Telangana,Mahabubnagar,509385,3,0,0
03-09-2025,Telangana,Mahabubnagar,509407,2,0,0
03-09-2025,Telangana,Mahabubnagar,509408,6,1,0
03-09-2025,Telangana,Mancherial,504214,0,1,0
03-09-2025,Telangana,Mancherial,504216,2,0,0
03-09-2025,Telangana,Medak,502001,4,1,0
03-09-2025,Telangana,Medak,502108,2,0,0
03-09-2025,Telangana,Medak,502130,1,0,0
03-09-2025,Telangana,Medak,502228,1,0,0
03-09-2025,Telangana,Medak,502255,0,2,0
03-09-2025,Telangana,Medak,502271,1,0,0
03-09-2025,Telangana,Medak,502279,3,0,0
03-09-2025,Telangana,Medak,502287,6,1,0
03-09-2025,Telangana,Medak,502303,2,0,0
03-09-2025,Telangana,Medak,502331,2,1,0
03-09-2025,Telangana,Medak,502345,6,3,0
03-09-2025,Telangana,Medchal-malkajgiri,500018,6,1,0
03-09-2025,Telangana,Medchal-malkajgiri,500039,1,0,0
03-09-2025,Telangana,Medchal-malkajgiri,500055,9,1,0
03-09-2025,Telangana,Medchal−malkajgiri,500055,1,0,0
03-09-2025,Telangana,Nagarkurnool,509203,2,0,0
03-09-2025,Telangana,Nagarkurnool,509320,3,0,0
03-09-2025,Telangana,Nagarkurnool,509401,2,0,0
03-09-2025,Telangana,Nalgonda,508116,5,0,0
03-09-2025,Telangana,Nalgonda,508205,1,0,0
03-09-2025,Telangana,Nalgonda,508206,1,0,0
03-09-2025,Telangana,Nalgonda,508210,2,0,0
03-09-2025,Telangana,Nalgonda,508245,7,1,0
03-09-2025,Telangana,Nalgonda,508254,4,1,0
03-09-2025,Telangana,Nalgonda,508255,6,0,0
03-09-2025,Telangana,Nalgonda,508285,1,0,0
03-09-2025,Telangana,Narayanpet,509130,5,1,0
03-09-2025,Telangana,Narayanpet,509208,5,2,0
03-09-2025,Telangana,Narayanpet,509407,3,0,0
