date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Tamil Nadu,Ariyalur,608901,1,0,0
01-09-2025,Tamil Nadu,Ariyalur,612904,0,2,0
01-09-2025,Tamil Nadu,Ariyalur,621701,3,0,0
01-09-2025,Tamil Nadu,Ariyalur,621801,1,0,0
01-09-2025,Tamil Nadu,Ariyalur,621803,1,0,0
01-09-2025,Tamil Nadu,Chengalpattu,600064,1,0,0
01-09-2025,Tamil Nadu,Chengalpattu,600100,2,0,0
01-09-2025,Tamil Nadu,Chengalpattu,600127,0,1,0
01-09-2025,Tamil Nadu,Chengalpattu,603003,2,0,0
01-09-2025,Tamil Nadu,Chengalpattu,603110,1,0,0
01-09-2025,Tamil Nadu,Chengalpattu,603202,1,0,0
01-09-2025,Tamil Nadu,Chengalpattu,603204,1,0,1
01-09-2025,Tamil Nadu,Chennai,600023,5,0,0
01-09-2025,Tamil Nadu,Chennai,600029,1,0,0
01-09-2025,Tamil Nadu,Chennai,600035,1,2,0
01-09-2025,Tamil Nadu,Chennai,600078,1,0,0
01-09-2025,Tamil Nadu,Chennai,600083,5,0,0
01-09-2025,Tamil Nadu,Chennai,600092,4,0,0
01-09-2025,Tamil Nadu,Chennai,600101,1,0,0
01-09-2025,Tamil Nadu,Chennai,600115,1,0,0
01-09-2025,Tamil Nadu,Coimbatore,641007,1,0,0
01-09-2025,Tamil Nadu,Coimbatore,641021,1,1,0
01-09-2025,Tamil Nadu,Coimbatore,641029,2,0,0
01-09-2025,Tamil Nadu,Coimbatore,641035,1,0,0
01-09-2025,Tamil Nadu,Coimbatore,641101,2,1,0
01-09-2025,Tamil Nadu,Coimbatore,641105,5,0,0
01-09-2025,Tamil Nadu,Coimbatore,642004,5,0,0
01-09-2025,Tamil Nadu,Coimbatore,642007,0,1,0
01-09-2025,Tamil Nadu,Coimbatore,642103,1,0,0
01-09-2025,Tamil Nadu,Coimbatore,642120,1,0,0
01-09-2025,Tamil Nadu,Cuddalore,606001,4,0,0
01-09-2025,Tamil Nadu,Cuddalore,606204,2,0,0
01-09-2025,Tamil Nadu,Cuddalore,607003,6,1,0
