date,state,district,pincode,age_0_5,age_5_17,age_18_greater
15-03-2025,Uttar Pradesh,Agra,282005,10,66,17
27-03-2025,Uttar Pradesh,Kanpur Nagar,208001,18,56,11
20-03-2025,Uttar Pradesh,Jaunpur,222001,19,103,29
27-03-2025,Uttar Pradesh,Agra,283201,21,15,10
20-03-2025,Uttar Pradesh,Agra,283125,25,29,12
09-03-2025,Uttar Pradesh,Kanpur Nagar,208001,29,82,12
15-03-2025,Uttar Pradesh,Ghaziabad,201001,33,125,16
09-03-2025,Uttar Pradesh,Aligarh,202133,62,29,15
20-03-2025,Uttar Pradesh,Firozabad,283203,65,51,11
20-03-2025,Uttar Pradesh,Agra,282001,96,125,11
01-04-2025,Uttar Pradesh,Kanpur Nagar,208003,41,27,10
01-04-2025,Uttar Pradesh,Kanpur Nagar,208007,72,96,23
01-04-2025,Uttar Pradesh,Jaunpur,223104,111,133,10
01-04-2025,Uttar Pradesh,Budaun,243601,480,267,13
01-04-2025,Uttar Pradesh,Bahraich,271855,417,377,45
01-04-2025,Uttar Pradesh,Kanpur Dehat,209306,141,146,31
01-04-2025,Uttar Pradesh,Jaunpur,222001,373,360,28
01-04-2025,Uttar Pradesh,Maharajganj,273305,141,176,13
01-04-2025,Uttar Pradesh,Banda,210001,250,177,30
01-04-2025,Uttar Pradesh,Lucknow,226005,83,92,23
01-04-2025,Uttar Pradesh,Kanpur Nagar,208004,73,44,16
01-04-2025,Uttar Pradesh,Bahraich,271824,68,58,11
01-04-2025,Uttar Pradesh,Banda,210121,208,163,13
01-04-2025,Uttar Pradesh,Kheri,261505,375,408,11
01-05-2025,Uttar Pradesh,Kanpur Nagar,208010,149,93,11
01-05-2025,Uttar Pradesh,Banda,210125,142,180,11
01-05-2025,Uttar Pradesh,Kanpur Nagar,209210,116,85,12
01-05-2025,Uttar Pradesh,Agra,282006,380,273,16
01-05-2025,Uttar Pradesh,Bahraich,271855,426,391,40
01-05-2025,Uttar Pradesh,Kanpur Nagar,208001,471,485,23
01-05-2025,Uttar Pradesh,Lucknow,226003,447,375,23
01-05-2025,Uttar Pradesh,Ghaziabad,201002,161,164,13
01-05-2025,Uttar Pradesh,Aligarh,202126,88,48,11
01-05-2025,Uttar Pradesh,Bijnor,246701,557,148,11
01-05-2025,Uttar Pradesh,Banda,210126,86,118,17
01-05-2025,Uttar Pradesh,Bahraich,271902,155,231,16
01-05-2025,Uttar Pradesh,Kheri,262902,177,150,11
01-05-2025,Uttar Pradesh,Kanpur Nagar,208027,99,191,11
01-05-2025,Uttar Pradesh,Sitapur,261201,494,318,10
01-05-2025,Uttar Pradesh,Maharajganj,273305,101,147,12
01-05-2025,Uttar Pradesh,Bareilly,243001,556,328,34
01-06-2025,Uttar Pradesh,Rampur,244901,694,751,21
01-06-2025,Uttar Pradesh,Gorakhpur,273015,82,223,10
01-06-2025,Uttar Pradesh,Sitapur,261208,77,93,12
01-06-2025,Uttar Pradesh,Bahraich,271825,53,115,13
01-06-2025,Uttar Pradesh,Aligarh,250611,204,251,12
01-06-2025,Uttar Pradesh,Bahraich,271881,72,167,32
01-06-2025,Uttar Pradesh,Bareilly,243001,298,369,21
01-06-2025,Uttar Pradesh,Bahraich,271903,60,223,10
01-06-2025,Uttar Pradesh,Pilibhit,262001,569,307,11
01-06-2025,Uttar Pradesh,Shravasti,271831,284,461,21
01-06-2025,Uttar Pradesh,Bahraich,271801,243,421,32
01-06-2025,Uttar Pradesh,Farrukhabad,209739,73,102,11
01-07-2025,Uttar Pradesh,Kheri,261502,160,214,13
01-07-2025,Uttar Pradesh,Balrampur,271205,126,332,10
01-07-2025,Uttar Pradesh,Siddharth Nagar,272202,276,379,26
01-07-2025,Uttar Pradesh,Jaunpur,223101,109,274,11
01-07-2025,Uttar Pradesh,Rampur,243701,423,369,11
01-07-2025,Uttar Pradesh,Rampur,244922,407,681,15
01-07-2025,Uttar Pradesh,Rampur,244924,569,261,34
01-07-2025,Uttar Pradesh,Rampur,244901,1462,884,53
01-07-2025,Uttar Pradesh,Gonda,271403,123,261,10
01-07-2025,Uttar Pradesh,Lucknow,226003,592,532,18
01-07-2025,Uttar Pradesh,Maharajganj,273304,148,244,15
01-07-2025,Uttar Pradesh,Siddharth Nagar,272207,292,447,15
01-07-2025,Uttar Pradesh,Varanasi,221107,177,325,22
01-07-2025,Uttar Pradesh,Barabanki,225302,236,178,23
01-07-2025,Uttar Pradesh,Shahjahanpur,242221,765,696,18
01-07-2025,Uttar Pradesh,Muzaffarnagar,251002,391,175,11
01-07-2025,Uttar Pradesh,Bahraich,271872,157,223,10
01-07-2025,Uttar Pradesh,Lucknow,226018,109,92,14
01-07-2025,Uttar Pradesh,Bareilly,243001,499,441,20
01-07-2025,Uttar Pradesh,Kanpur Nagar,208002,132,162,13
01-07-2025,Uttar Pradesh,Kheri,261506,215,254,14
01-07-2025,Uttar Pradesh,Pilibhit,262122,563,608,17
01-07-2025,Uttar Pradesh,Gautam Buddha Nagar,201306,363,434,33
01-07-2025,Uttar Pradesh,Bahraich,271841,158,190,10
01-07-2025,Uttar Pradesh,Bahraich,271802,174,197,11
01-07-2025,Uttar Pradesh,Kheri,262701,374,370,12
01-07-2025,Uttar Pradesh,Shravasti,271831,425,669,24
01-07-2025,Uttar Pradesh,Lucknow,226001,212,199,13
01-07-2025,Uttar Pradesh,Etah,207244,267,238,10
01-07-2025,Uttar Pradesh,Ghaziabad,201204,249,194,10
01-07-2025,Uttar Pradesh,Mainpuri,206301,124,294,11
02-09-2025,Uttar Pradesh,Agra,282003,0,3,0
02-09-2025,Uttar Pradesh,Agra,282005,5,10,1
02-09-2025,Uttar Pradesh,Agra,282006,12,18,1
02-09-2025,Uttar Pradesh,Agra,283102,5,2,0
02-09-2025,Uttar Pradesh,Agra,283105,4,3,0
02-09-2025,Uttar Pradesh,Agra,283112,0,1,0
02-09-2025,Uttar Pradesh,Agra,283115,5,7,0
02-09-2025,Uttar Pradesh,Aligarh,202001,52,36,0
02-09-2025,Uttar Pradesh,Aligarh,202128,1,5,1
02-09-2025,Uttar Pradesh,Aligarh,202141,3,0,0
02-09-2025,Uttar Pradesh,Aligarh,202150,3,0,0
02-09-2025,Uttar Pradesh,Aligarh,204215,3,4,0
02-09-2025,Uttar Pradesh,Allahabad,211008,3,6,0
02-09-2025,Uttar Pradesh,Allahabad,211016,1,2,0
02-09-2025,Uttar Pradesh,Allahabad,211019,7,5,0
02-09-2025,Uttar Pradesh,Allahabad,212104,4,3,0
02-09-2025,Uttar Pradesh,Allahabad,212107,19,2,0
02-09-2025,Uttar Pradesh,Allahabad,212217,0,1,0
02-09-2025,Uttar Pradesh,Allahabad,212404,1,0,0
02-09-2025,Uttar Pradesh,Allahabad,221507,5,4,0
02-09-2025,Uttar Pradesh,Allahabad,228411,1,0,0
02-09-2025,Uttar Pradesh,Allahabad,229413,0,5,0
02-09-2025,Uttar Pradesh,Ambedkar Nagar,224129,6,13,0
02-09-2025,Uttar Pradesh,Ambedkar Nagar,224141,0,4,0
02-09-2025,Uttar Pradesh,Ambedkar Nagar,224143,5,5,0
02-09-2025,Uttar Pradesh,Ambedkar Nagar,224147,0,7,0
02-09-2025,Uttar Pradesh,Ambedkar Nagar,224149,4,12,0
02-09-2025,Uttar Pradesh,Ambedkar Nagar,224155,1,4,0
02-09-2025,Uttar Pradesh,Ambedkar Nagar,224186,2,2,0
02-09-2025,Uttar Pradesh,Ambedkar Nagar,224190,3,5,1
02-09-2025,Uttar Pradesh,Ambedkar Nagar,224205,0,1,0
02-09-2025,Uttar Pradesh,Ambedkar Nagar,224230,1,3,0
02-09-2025,Uttar Pradesh,Amethi,227411,1,2,0
02-09-2025,Uttar Pradesh,Amethi,227413,1,2,0
02-09-2025,Uttar Pradesh,Amethi,227805,0,1,0
02-09-2025,Uttar Pradesh,Amethi,229126,3,1,0
02-09-2025,Uttar Pradesh,Amethi,229304,1,2,0
02-09-2025,Uttar Pradesh,Amethi,229307,5,3,0
02-09-2025,Uttar Pradesh,Amroha,244222,7,3,0
02-09-2025,Uttar Pradesh,Amroha,244235,3,5,0
02-09-2025,Uttar Pradesh,Amroha,244255,3,2,0
02-09-2025,Uttar Pradesh,Amroha,244501,4,5,0
02-09-2025,Uttar Pradesh,Auraiya,206244,2,8,0
02-09-2025,Uttar Pradesh,Auraiya,206251,1,0,0
02-09-2025,Uttar Pradesh,Ayodhya,224284,2,0,0
02-09-2025,Uttar Pradesh,Azamgarh,223221,3,4,0
02-09-2025,Uttar Pradesh,Azamgarh,276122,0,8,0
02-09-2025,Uttar Pradesh,Azamgarh,276124,2,0,0
02-09-2025,Uttar Pradesh,Azamgarh,276136,5,3,0
02-09-2025,Uttar Pradesh,Azamgarh,276204,6,7,0
02-09-2025,Uttar Pradesh,Azamgarh,276302,2,3,0
02-09-2025,Uttar Pradesh,Azamgarh,276402,1,0,0
02-09-2025,Uttar Pradesh,Azamgarh,276405,1,2,0
02-09-2025,Uttar Pradesh,Baghpat,250606,10,2,0
02-09-2025,Uttar Pradesh,Baghpat,250619,4,0,1
02-09-2025,Uttar Pradesh,Baghpat,250623,3,7,0
02-09-2025,Uttar Pradesh,Bahraich,271802,1,2,0
02-09-2025,Uttar Pradesh,Bahraich,271830,12,33,4
02-09-2025,Uttar Pradesh,Bahraich,271845,1,2,0
02-09-2025,Uttar Pradesh,Bahraich,271851,7,15,1
02-09-2025,Uttar Pradesh,Bahraich,271870,10,2,0
