date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-04-2025,West Bengal,Jhargram,721517,40,10,12
01-04-2025,West Bengal,Darjeeling,734014,82,34,16
01-04-2025,West Bengal,Darjeeling,734010,81,49,17
01-04-2025,West Bengal,Cooch Behar,736135,243,127,20
01-04-2025,West Bengal,North 24 Parganas,700159,35,28,14
01-04-2025,West Bengal,Uttar Dinajpur,733134,484,109,27
01-05-2025,West Bengal,Kolkata,700014,90,78,10
01-05-2025,West Bengal,Darjeeling,734105,10,17,22
01-05-2025,West Bengal,Dakshin Dinajpur,733121,179,42,14
01-05-2025,West Bengal,Jalpaiguri,735212,20,39,10
01-05-2025,West Bengal,Jalpaiguri,735135,143,57,21
01-06-2025,West Bengal,24 Paraganas North,743263,92,77,13
01-06-2025,West Bengal,Kolkata,700006,50,77,15
01-06-2025,West Bengal,24 Paraganas North,700129,21,36,10
01-06-2025,West Bengal,Nadia,741223,74,37,11
01-06-2025,West Bengal,Alipurduar,736206,40,71,10
01-06-2025,West Bengal,Darjeeling,734427,19,28,10
01-06-2025,West Bengal,Nadia,741501,61,37,13
01-06-2025,West Bengal,Alipurduar,735217,20,40,12
01-06-2025,West Bengal,Birbhum,731204,139,65,17
01-06-2025,West Bengal,Medinipur West,721201,45,67,10
01-06-2025,West Bengal,Darjeeling,734201,10,45,12
01-07-2025,West Bengal,Alipurduar,736202,82,100,18
01-07-2025,West Bengal,Darjeeling,734010,92,91,25
01-07-2025,West Bengal,Nadia,741253,77,14,11
01-07-2025,West Bengal,24 Paraganas North,743263,113,80,34
01-07-2025,West Bengal,Coochbehar,736146,204,303,12
01-07-2025,West Bengal,24 Paraganas North,700049,55,67,12
01-07-2025,West Bengal,24 Paraganas North,700056,34,53,11
01-07-2025,West Bengal,24 Paraganas North,743127,91,83,14
01-07-2025,West Bengal,Nadia,741402,68,23,13
01-07-2025,West Bengal,Nadia,741201,124,48,11
01-07-2025,West Bengal,Hooghly,712149,177,111,12
01-07-2025,West Bengal,Dinajpur Uttar,733207,1102,1207,45
01-07-2025,West Bengal,Alipurduar,736182,36,64,48
01-07-2025,West Bengal,24 Paraganas South,743347,364,104,22
01-07-2025,West Bengal,Alipurduar,735208,13,16,10
01-07-2025,West Bengal,Jalpaiguri,735206,10,49,10
01-07-2025,West Bengal,Darjeeling,734013,43,23,21
01-07-2025,West Bengal,24 Paraganas North,743249,76,62,17
03-09-2025,West Bengal,Howrah,711409,1,2,0
03-09-2025,West Bengal,Howrah,711416,1,0,0
03-09-2025,West Bengal,Hugli,712408,1,0,0
03-09-2025,West Bengal,Jalpaiguri,735101,3,1,0
03-09-2025,West Bengal,Jalpaiguri,735122,1,1,0
03-09-2025,West Bengal,Jalpaiguri,735136,1,0,0
03-09-2025,West Bengal,Jalpaiguri,735213,2,0,0
03-09-2025,West Bengal,Jalpaiguri,735221,1,0,0
03-09-2025,West Bengal,Jalpaiguri,735228,0,4,0
03-09-2025,West Bengal,Jalpaiguri,736122,4,0,0
03-09-2025,West Bengal,Jalpaiguri,736201,1,0,0
03-09-2025,West Bengal,Jalpaiguri,736204,5,3,0
03-09-2025,West Bengal,Koch Bihar,735304,0,1,0
03-09-2025,West Bengal,Koch Bihar,736131,1,0,0
03-09-2025,West Bengal,Koch Bihar,736167,0,3,0
03-09-2025,West Bengal,Kolkata,700002,3,2,0
03-09-2025,West Bengal,Kolkata,700004,0,0,3
03-09-2025,West Bengal,Kolkata,700010,1,2,0
